mag,TOA_Flux,NGS,LGS_ON,LGS_OFF
Band,e-,R,R,R
0.01,,161.82,204,213
1,4259226009,161.82,204,213
2,1695628415,161.82,204,213
3,675041830.7,161.82,204,213
4,268738993.2,161.82,204,213
5,106986920.2,161.82,204,213
6,42592260.09,161.82,204,213
7,16956284.15,161.82,204,213
8,6750418.307,161.82,204,213
9,2687389.932,162,204,213
10,1069869.202,162.9,204,213
11,425922.6009,165.3,204,213
12,169562.8415,170.6,204,213
13,67504.18307,182.3,204,213
14,26873.89932,213,204,213
15,10698.69202,10000,204,213
16,4259.226009,10000,204,213
17,1695.628415,10000,204,213
18,675.0418307,10000,204,213
19,268.7389932,10000,204,213
20,106.9869202,10000,204,213
21,42.59226009,10000,204,213
