mag,80JH,100JH,LGS_100J_45,LGS_100J_130,LGS_100H_45,LGS_100H_130,LGS_80JH_130,LGS_STRAP_45,LGS_STRAP_130,100K,SH,80J,80H,LGS_100I_130,LGS_100J_KAO,LGS_100H_KAO,SH_KAO
Band,J,J,J,J,H,H,H,V,V,K,V,J,H,I,J,H,V
0.01,134,134,207,232,207,232,232,207,234,133,133,133,133,232,253.6,253.6,
1,134,134,207,232,207,232,232,207,234,133,133,133,133,232,253.6,253.6,
2,134,134,207,232,207,232,232,207,234,133,133,133,133,232,253.6,253.6,
3,134,134,207,232,207,232,232,207,234,133,133,133,133,232,253.6,253.6,
4,134,134,207,232,207,232,232,207,234,133.4,133,133,133,232,253.6,253.6,
5,134.7,134.7,207,232,207,232,232,207,234,134.8,133,133.5,133.2,232,253.6,253.6,
6,135.7,135.7,207,232,207,232,232,207,234,139.6,133,134.5,134.8,232,253.6,253.6,
7,140.9,139.5,207,232,207,232,232,207,234,156.6,133,138.5,141.4,232,253.6,253.6,
8,158.4,155,207,232,207,232,232,207,234,197.6,134,154,163.8,232,253.6,253.6,
9,200.7,193.9,207,232,207,232,232,207,234,278.2,136,192.5,214.8,232,253.6,253.6,
10,282.5,269.6,207,232,207,232,232,207,234,430.4,147,269,308.6,232,253.6,253.6,
11,438.4,414.3,207,232,207,232,232,207,234,758.6,177,414.5,487.2,232,253.6,253.6,
12,800.3,749.9,207,232,207,232,232,207,234,1623,238,738,847.2,232,253.6,253.6,
13,1788.8,1668.6,207,232,207,232,232,207,234,10000,357,1602.5,10000,232,253.6,253.6,
14,7646.8,4054,207,232,207,232,232,207,234,10000,580,10000,10000,232,253.6,253.6,
15,10000,8479,207,232,207,232,232,207,234,10000,1143,10000,10000,232,253.6,253.6,
16,10000,10000,207,232,207,232,232,207,234,10000,2687,10000,10000,232,253.6,253.6,
17,10000,10000,207,232,207,232,232,207,234,10000,10000,10000,10000,232,253.6,253.6,
18,10000,10000,207,232,207,232,232,207,234,10000,10000,10000,10000,232,253.6,253.6,
19,10000,10000,207,232,207,232,232,207,234,10000,10000,10000,10000,232,253.6,253.6,
20,10000,10000,207,232,207,232,232,207,234,10000,10000,10000,10000,232,253.6,253.6,
21,10000,10000,207,232,207,232,232,207,234,10000,10000,10000,10000,232,253.6,253.6,
