mag,80JH,100JH,LGS_100J_45,LGS_100J_130,LGS_100H_45,LGS_100H_130,LGS_80JH_130,LGS_STRAP_45,LGS_STRAP_130,100K,SH,80J,80H,LGS_100I_130,LGS_100J_KAO,LGS_100H_KAO,SH_KAO
Band,J,J,J,J,H,H,H,V,V,K,V,J,H,I,J,H,V
0.01,2.78,2.78,2.82,2.82,2.82,2.82,2.8281,2.82,2.82,2.8,2.8,2.8,2.8,2.82,2.87,2.80,
1,2.78,2.78,2.827,2.827,2.828,2.828,2.83,2.82,2.82,2.8,2.8,2.8,2.8,2.827,2.90,2.88,
2,2.787,2.787,2.83,2.83,2.83,2.83,2.846,2.82,2.82,2.8,2.8,2.8,2.8,2.83,2.97,2.90,
3,2.79,2.79,2.844,2.844,2.83,2.83,2.874,2.82,2.82,2.8,2.8,2.8,2.8,2.844,3.21,2.98,
4,2.797,2.79,2.878,2.878,2.846,2.846,2.944,2.82,2.82,2.84,2.8,2.8,2.82,2.878,3.65,3.24,
5,2.814,2.804,2.96,2.96,2.89,2.89,3.12,2.83,2.83,2.98,2.8,2.85,2.92,2.96,4.08,3.70,
6,2.883,2.859,3.158,3.158,2.98,2.98,3.488,2.83,2.83,3.38,2.8,3,3.1,3.158,4.48,4.36,
7,3.162,3.09,3.552,3.552,3.208,3.208,4.098,2.85,2.85,4.36,2.8,3.4,3.74,3.552,5.02,4.50,
8,4.04,3.866,3.991,3.991,3.644,3.796,4.342,2.89,2.89,5.92,2.8,4.35,4.98,3.991,5.90,4.98,
9,5.224,5.007,4.358,4.358,4.06,4.098,4.786,3.00,3.00,8.68,2.8,5.55,6.72,4.358,7.32,5.90,
10,7.501,7.113,4.873,4.873,4.428,4.428,5.57,3.25,3.25,14.56,2.9,7.55,10.48,4.873,9.34,7.30,
11,12.24,11.472,5.694,5.694,4.996,4.996,6.788,3.72,3.72,30.8,3.6,11.95,18.06,5.694,12.24,9.36,
12,27.346,25.487,6.971,6.971,5.936,5.936,8.65,4.13,4.13,76.08,3.9,25.05,36.02,6.971,16.42,12.36,
13,67.54,62.876,8.884,8.884,7.46,7.46,11.474,4.49,4.49,10000,4.3,61.2,80,8.884,22.42,16.84,
14,105.512,157.404,11.704,11.704,10.014,10.014,15.952,5.11,5.11,10000,5.6,10000,10000,11.704,31.54,23.88,
15,203.828,214.353,15.972,15.972,14.602,14.602,23.84,6.15,6.15,10000,7.6,10000,10000,15.972,46.50,36.20,
16,7072.51,7067.176,22.944,22.944,23.578,23.578,40.346,7.92,7.92,10000,14.8,10000,10000,22.944,73.02,62.34,
17,10000,10000,36.303,36.303,43.866,43.866,81.04,11.09,11.09,10000,10000,10000,10000,36.303,124.69,125.40,
18,10000,10000,67.113,67.113,81,81,10000,17.14,17.14,10000,10000,10000,10000,67.113,237.05,10000.00,
19,10000,10000,110,110,10000,10000,10000,29.65,29.65,10000,10000,10000,10000,110,10000.00,10000.00,
20,10000,10000,10000,10000,10000,10000,10000,59.80,59.80,10000,10000,10000,10000,10000,10000.00,10000.00,
21,10000,10000,10000,10000,10000,10000,10000,100.00,100.00,10000,10000,10000,10000,10000,10000.00,10000.00,
