R/I mag,Keck NGS (PWFS),Keck NGS (KPIC),Keck LGS,NFIRAOS NGS,NFIRAOS MCAO
0,206,147,286,156,193
1,206,147,286,156,193
2,206,147,286,156,193
3,206,147,286,156,193
4,206,147,286,156,193
5,206,147,286,156,193
6,206,147,286,156,193
7,206,147,286,156,193
8,206,148,286,156,193
9,212,156,286,158,193
10,226,168,287,162,193
11,259,194,288,171,193
12,327,248,289,190,193
13,455,349,293,233,193
14,677,523,302,316,193
15,1044,808,312,462,193
16,1635,1268,318,707,193
17,2580,2001,357,1104,193
18,4081,3166,403,1739,193
19,6463,5014,475,2750,193
20,10241,7945,579,4354,193
