!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  MKO filter system
!
!        Teff    Logg   [M/H]   [a/H]             J           H          Ks          L'          M'
      5777.00    4.44    0.00    0.00       -39.585     -39.890     -39.936     -39.958     -39.931
       260.00    3.00    0.00    0.00       -23.947     -23.068     -19.379     -28.746     -31.204
       260.00    3.50    0.00    0.00       -21.424     -21.877     -18.608     -28.671     -31.851
       280.00    3.00    0.00    0.00       -24.109     -23.277     -20.529     -29.112     -31.323
       280.00    3.50    0.00    0.00       -23.411     -23.392     -20.239     -29.304     -32.000
       320.00    2.50    0.00    0.00       -25.618     -24.643     -23.234     -29.988     -29.214
       320.00    3.00    0.00    0.00       -26.144     -25.028     -23.188     -30.156     -31.206
       320.00    3.50    0.00    0.00       -25.989     -25.167     -22.699     -30.230     -32.362
       300.00    3.00    0.00    0.00       -25.108     -24.109     -21.889     -29.631     -31.349
       300.00    3.50    0.00    0.00       -25.089     -24.406     -21.409     -29.726     -32.198
       340.00    2.50    0.00    0.00       -26.364     -25.260     -23.976     -30.272     -29.352
       340.00    3.00    0.00    0.00       -26.356     -25.328     -24.029     -30.462     -31.312
       340.00    3.50    0.00    0.00       -26.682     -25.768     -23.691     -30.604     -32.446
       360.00    2.50    0.00    0.00       -26.610     -25.783     -24.968     -30.746     -29.178
       360.00    3.00    0.00    0.00       -27.328     -26.183     -25.045     -30.922     -30.498
       360.00    3.50    0.00    0.00       -27.358     -26.364     -24.771     -31.038     -32.211
       380.00    2.50    0.00    0.00       -26.571     -25.876     -25.491     -31.106     -29.222
