Age	M/Ms	Teff	L/Ls	g	R
0.001	0.0005	628	-5.37	2.65	12.25
0.001	0.001	942	-4.72	3	11.57
0.001	0.002	1285	-4.14	3.26	12.09
0.001	0.003	1553	-3.75	3.37	12.99
0.001	0.004	1747	-3.48	3.44	13.92
0.001	0.005	1901	-3.27	3.47	14.95
0.001	0.006	2004	-3.13	3.5	15.88
0.001	0.007	2098	-3	3.51	16.85
0.001	0.008	2159	-2.89	3.52	17.96
0.001	0.009	2207	-2.81	3.53	18.88
0.001	0.01	2251	-2.73	3.53	19.81
0.001	0.012	2321	-2.61	3.54	21.4
0.001	0.015	2400	-2.46	3.54	24.04
0.001	0.02	2484	-2.28	3.55	27.47
0.001	0.03	2598	-2.17	3.69	28.38
0.001	0.04	2746	-1.94	3.68	33.27
0.001	0.05	2768	-1.64	3.49	46.38
0.001	0.06	2824	-1.6	3.57	46.27
0.001	0.07	2853	-1.48	3.53	52.41
0.001	0.072	2858	-1.45	3.52	53.68
0.001	0.075	2833	-1.39	3.46	58.93
0.001	0.08	2869	-1.37	3.49	58.47
0.001	0.09	2867	-1.29	3.46	64.54
0.001	0.1	2856	-1.19	3.39	73.18
0.001	0.11	3023	-1.08	3.43	73.48
0.001	0.13	3072	-0.96	3.41	82.37
0.001	0.15	3120	-0.85	3.39	90.05
0.001	0.175	3163	-0.76	3.39	97.57
0.001	0.2	3193	-0.7	3.4	102.6
0.001	0.25	3242	-0.61	3.43	110.47
0.001	0.3	3281	-0.53	3.46	118.1
0.001	0.35	3318	-0.46	3.47	125.44
0.001	0.4	3357	-0.39	3.48	132.28
0.001	0.45	3388	-0.34	3.49	138.4
0.001	0.5	3427	-0.28	3.5	144.06
0.001	0.57	3485	-0.21	3.52	151.93
0.001	0.6	3507	-0.17	3.52	155.92
0.001	0.62	3525	-0.15	3.52	157.89
0.001	0.7	3593	-0.08	3.53	164.8
0.001	0.75	3632	-0.04	3.54	169.47
0.001	0.8	3670	0	3.55	173.8
0.001	0.85	3705	0.04	3.55	178.34
0.001	0.9	3752	0.03	3.61	171.83
0.001	0.95	3776	0.11	3.56	186.04
0.001	1	3810	0.13	3.58	187.82
0.001	1.05	3841	0.17	3.57	193.6
0.001	1.1	3871	0.21	3.57	197.99
0.001	1.15	3899	0.23	3.58	201.14
0.001	1.2	3978	0.28	3.58	203.89
0.001	1.3	4098	0.35	3.6	208.83
0.001	1.4	4197	0.42	3.6	214.98
0.002	0.0005	549	-5.67	2.71	11.32
0.002	0.001	814	-5.04	3.07	10.67
0.002	0.002	1125	-4.45	3.34	11
0.002	0.003	1352	-4.09	3.47	11.56
0.002	0.004	1551	-3.81	3.56	12.14
0.002	0.005	1716	-3.59	3.61	12.76
0.002	0.006	1849	-3.42	3.65	13.39
0.002	0.007	1954	-3.28	3.67	14.04
0.002	0.008	2047	-3.16	3.69	14.77
0.002	0.009	2119	-3.06	3.7	15.42
0.002	0.01	2172	-2.98	3.71	16.08
0.002	0.012	2264	-2.84	3.73	17.32
0.002	0.015	2368	-2.68	3.73	19.18
0.002	0.02	2477	-2.48	3.74	22
0.002	0.03	2609	-2.23	3.75	26.48
