Wavelength,Echelle
0.9,0
0.901,0
0.902,0
0.903,0
0.904,0
0.905,0
0.906,0
0.907,0
0.908,0
0.909,0
0.91,0
0.911,0
0.912,0
0.913,0
0.914,0
0.915,0
0.916,0
0.917,0
0.918,0
0.919,0
0.92,0
0.921,0
0.922,0
0.923,0
0.924,0
0.925,0
0.926,0
0.927,0
0.928,0
0.929,0
0.93,0
0.931,0
0.932,0
0.933,0
0.934,0
0.935,0
0.936,0
0.937,0
0.938,0
0.939,0
0.94,0
0.941,0
0.942,0
0.943,0
0.944,0
0.945,0
0.946,0
0.947,0
0.948,0
0.949,0
0.95,0
0.951,0
0.952,0
0.953,0
0.954,0
0.955,0
0.956,0.3575122
0.957,0.4798574
0.958,0.6080546
0.959,0.7327636
0.96,0.8436571
0.961,0.9305552
0.962,0.9846325
0.963,0.9995951
0.964,0.9726809
0.965,0.9052418
0.966,0.8028581
0.967,0.6748278
0.968,0.5331068
0.969,0.4176764
0.97,0.540613
0.971,0.6650861
0.972,0.7819216
0.973,0.8815201
0.974,0.9548175
0.975,0.9944224
0.976,0.9955842
0.977,0.956947
0.978,0.8809559
0.979,0.7737918
0.98,0.6448051
0.981,0.505445
0.982,0.4376706
0.983,0.5580987
0.984,0.6788339
0.985,0.7913187
0.986,0.8867108
0.987,0.9567114
0.988,0.9945679
0.989,0.9959378
0.99,0.9595301
0.991,0.8874782
0.992,0.7852835
0.993,0.6613765
0.994,0.5261877
0.995,0.4174411
0.996,0.5336962
0.997,0.6517778
0.998,0.7639702
0.999,0.8620992
1,0.9382926
1.001,0.9858
1.002,0.9998066
1.003,0.9780722
1.004,0.9213506
1.005,0.8334976
1.006,0.7211975
1.007,0.5933864
1.008,0.4602812
1.009,0.4697567
1.01,0.5844744
1.011,0.6979105
1.012,0.8027064
1.013,0.8913366
1.014,0.9568417
1.015,0.9935072
1.016,0.9975495
1.017,0.9676254
1.018,0.9051474
1.019,0.8142579
1.02,0.7016256
1.021,0.5757357
1.022,0.4461201
1.023,0.4788031
1.024,0.5904686
1.025,0.7005771
1.026,0.8023519
1.027,0.8888909
1.028,0.9537442
1.029,0.9915974
1.03,0.9987957
1.031,0.9738542
1.032,0.9177276
1.033,0.8338508
1.034,0.727952
1.035,0.6075881
1.036,0.4814
1.037,0.445883
1.038,0.5535914
1.039,0.6618418
1.04,0.7645533
1.041,0.855391
1.042,0.9281672
1.043,0.9774806
1.044,0.9991983
1.045,0.9909427
1.046,0.952406
1.047,0.8855166
1.048,0.7943819
1.049,0.6850375
1.05,0.5648652
1.051,0.4420544
1.052,0.4762439
1.053,0.5815508
1.054,0.6859747
1.055,0.7838345
1.056,0.8692903
1.057,0.9367594
1.058,0.9814336
1.059,0.999688
1.06,0.9895111
1.061,0.9507499
1.062,0.8852571
1.063,0.7968426
1.064,0.6910065
1.065,0.5745265
1.066,0.454905
1.067,0.462357
1.068,0.5642967
1.069,0.6662436
1.07,0.7630581
1.071,0.8494104
1.072,0.9200591
1.073,0.970373
1.074,0.9966647
1.075,0.9965609
1.076,0.9692959
1.077,0.9158481
1.078,0.839009
1.079,0.7431763
1.08,0.6340814
1.081,0.5183808
1.082,0.4071561
1.083,0.5040376
1.084,0.6035424
1.085,0.7012588
1.086,0.7923977
1.087,0.8720382
1.088,0.9355482
1.089,0.9788566
1.09,0.9988611
1.091,0.9936821
1.092,0.962905
1.093,0.9077029
1.094,0.8308163
1.095,0.7364222
1.096,0.6298902
1.097,0.5173146
1.098,0.4054155
1.099,0.4992321
1.1,0.5957335
1.101,0.6908928
1.102,0.7803677
1.103,0.859668
1.104,0.924484
1.105,0.9709742
1.106,0.9960817
1.107,0.997783
1.108,0.9753119
1.109,0.9292889
1.11,0.8617459
1.111,0.776061
1.112,0.6767435
1.113,0.5691729
1.114,0.4591697
1.115,0.4503572
1.116,0.5429789
1.117,0.6364847
1.118,0.7270433
1.119,0.8106006
1.12,0.8830895
1.121,0.9406849
1.122,0.9800721
1.123,0.9987052
1.124,0.9950057
1.125,0.9685438
1.126,0.9201293
1.127,0.8518414
1.128,0.7669104
1.129,0.6695814
1.13,0.564814
1.131,0.457944
1.132,0.4486771
1.133,0.5383547
1.134,0.6290245
1.135,0.7172603
1.136,0.7993245
1.137,0.871547
1.138,0.9303699
1.139,0.9726623
1.14,0.9959178
1.141,0.998455
1.142,0.9795712
1.143,0.9396375
1.144,0.8801611
1.145,0.8037011
1.146,0.71381
1.147,0.6147428
1.148,0.5112931
1.149,0
1.15,0.4877886
1.151,0.5754512
1.152,0.6627839
1.153,0.7465277
1.154,0.8232972
1.155,0.8897461
1.156,0.9427353
1.157,0.9795424
1.158,0.9980428
1.159,0.996867
1.16,0.9755331
1.161,0.9345295
1.162,0.8753188
1.163,0.8003342
1.164,0.7128233
1.165,0.6167027
1.166,0.5163484
1.167,0
1.168,0.4782983
1.169,0.5630044
1.17,0.647802
1.171,0.7297986
1.172,0.8059289
1.173,0.873119
1.174,0.9284394
1.175,0.9692968
1.176,0.9935615
1.177,0.9997288
1.178,0.9870353
1.179,0.9555458
1.18,0.9062068
1.181,0.8408083
1.182,0.761955
1.183,0.6729152
1.184,0.5774641
1.185,0.4796683
1.186,0
1.187,0.5036164
1.188,0.585883
1.189,0.6675463
1.19,0.7459083
1.191,0.8181981
1.192,0.881626
1.193,0.9335842
1.194,0.9717509
1.195,0.9942286
1.196,0.9996859
1.197,0.9874415
1.198,0.9575501
1.199,0.9108189
1.2,0.8488456
1.201,0.7739077
1.202,0.6889062
1.203,0.5972236
1.204,0.5025323
1.205,0
1.206,0.479446
1.207,0.5586836
1.208,0.638159
1.209,0.7154765
1.21,0.7881598
1.211,0.8536636
1.212,0.909532
1.213,0.9535282
1.214,0.9837116
1.215,0.9985778
1.216,0.9971535
1.217,0.9790712
1.218,0.9446158
1.219,0.8947561
1.22,0.8311219
1.221,0.7559422
1.222,0.6719768
1.223,0.5823528
1.224,0.4904335
1.225,0
1.226,0
1.227,0.5610461
1.228,0.6378467
1.229,0.7126669
1.23,0.7832437
1.231,0.8472805
1.232,0.9025555
1.233,0.9469915
1.234,0.978799
1.235,0.9965207
1.236,0.9991636
1.237,0.9862405
1.238,0.9578335
1.239,0.9146186
1.24,0.8578623
1.241,0.7893754
1.242,0.7114773
1.243,0.6268708
1.244,0.5385275
1.245,0
1.246,0
1.247,0.5133608
1.248,0.5876843
1.249,0.661492
1.25,0.7327954
1.251,0.7995571
1.252,0.8597068
1.253,0.9112551
1.254,0.952368
1.255,0.9814585
1.256,0.9972686
1.257,0.9989257
1.258,0.9860159
1.259,0.9586237
1.26,0.9173446
1.261,0.8633081
1.262,0.7981017
1.263,0.7237875
1.264,0.6427751
1.265,0.5577197
1.266,0
1.267,0
1.268,0
1.269,0.5617283
1.27,0.6333835
1.271,0.703437
1.272,0.7700617
1.273,0.8313979
1.274,0.8856047
1.275,0.9309452
1.276,0.9658625
1.277,0.9890423
1.278,0.9994649
1.279,0.9964873
1.28,0.9798701
1.281,0.9498207
1.282,0.9069974
1.283,0.8525119
1.284,0.7878818
1.285,0.715023
1.286,0.6361425
1.287,0.5536692
1.288,0
1.289,0
1.29,0
1.291,0.5553616
1.292,0.6245652
1.293,0.6924885
1.294,0.757501
1.295,0.8179244
1.296,0.8721009
1.297,0.9184389
1.298,0.955485
1.299,0.981963
1.3,0.9968596
1.301,0.9994579
1.302,0.9893771
1.303,0.9666144
1.304,0.9315593
1.305,0.8849931
1.306,0.8280873
1.307,0.7623578
1.308,0.6896514
1.309,0.6120172
1.31,0
1.311,0
1.312,0
1.313,1.25E-13
1.314,0.5639952
1.315,0.6306567
1.316,0.6960129
1.317,0.7585784
1.318,0.8168689
1.319,0.8693708
1.32,0.9146711
1.321,0.9514309
1.322,0.9784954
1.323,0.9949101
1.324,0.9999746
1.325,0.993277
1.326,0.9747201
1.327,0.9445559
1.328,0.9033619
1.329,0.8520754
1.33,0.7919419
1.331,0.7244942
1.332,0.6515136
1.333,0.5749448
1.334,0
1.335,0
1.336,0
1.337,0
1.338,0
1.339,0
1.34,0
1.341,0
1.342,0
1.343,0
1.344,0
1.345,0
1.346,0
1.347,0
1.348,0
1.349,0
1.35,0
1.351,0
1.352,0
1.353,0
1.354,0
1.355,0
1.356,0
1.357,0
1.358,0
1.359,0
1.36,0
1.361,0
1.362,0
1.363,0
1.364,0
1.365,0
1.366,0
1.367,0
1.368,0
1.369,0
1.37,0
1.371,0
1.372,0
1.373,0
1.374,0
1.375,0
1.376,0
1.377,0
1.378,0
1.379,0
1.38,0
1.381,0
1.382,0
1.383,0
1.384,0
1.385,0
1.386,0
1.387,0
1.388,0
1.389,0
1.39,0
1.391,0
1.392,0
1.393,0
1.394,0
1.395,0
1.396,0
1.397,0
1.398,0
1.399,0
1.4,0
1.401,0
1.402,0
1.403,0
1.404,0
1.405,0
1.406,0
1.407,0
1.408,0
1.409,0
1.41,0
1.411,0
1.412,0
1.413,0
1.414,0
1.415,0
1.416,0
1.417,0
1.418,0
1.419,0
1.42,0
1.421,0
1.422,0
1.423,0
1.424,0
1.425,0
1.426,0
1.427,0
1.428,0
1.429,0
1.43,0
1.431,0
1.432,0
1.433,0
1.434,0
1.435,0
1.436,0
1.437,0
1.438,0
1.439,0
1.44,0
1.441,0
1.442,0
1.443,0
1.444,0
1.445,0
1.446,0
1.447,0
1.448,0
1.449,0
1.45,0
1.451,0
1.452,0
1.453,0
1.454,0
1.455,0
1.456,0
1.457,0
1.458,0
1.459,0
1.46,0
1.461,0
1.462,0
1.463,0
1.464,0
1.465,0
1.466,0
1.467,0
1.468,0
1.469,0
1.47,0
1.471,0
1.472,0
1.473,0
1.474,0
1.475,0
1.476,0
1.477,0
1.478,0
1.479,0
1.48,0
1.481,0
1.482,0
1.483,0
1.484,0
1.485,0
1.486,0
1.487,0
1.488,0
1.489,0
1.49,0
1.491,0
1.492,0
1.493,0
1.494,0.1781393
1.495,0.2477801
1.496,0.3285436
1.497,0.4185609
1.498,0.5150664
1.499,0.6144086
1.5,0.7121606
1.501,0.8033386
1.502,0.8826703
1.503,0.9449304
1.504,0.985327
1.505,0.9999883
1.506,0.9863737
1.507,0.9436814
1.508,0.8731316
1.509,0.7781333
1.51,0.6642339
1.511,0.5388145
1.512,0.4105543
1.513,0.4949866
1.514,0.5919594
1.515,0.6884571
1.516,0.7798825
1.517,0.861326
1.518,0.9278196
1.519,0.974696
1.52,0.9979807
1.521,0.9947938
1.522,0.9637414
1.523,0.9052021
1.524,0.8215359
1.525,0.7171412
1.526,0.598246
1.527,0.4725627
1.528,0.4471123
1.529,0.5406967
1.53,0.6359171
1.531,0.7287446
1.532,0.8147489
1.533,0.8892301
1.534,0.9475909
1.535,0.9856378
1.536,0.9999526
1.537,0.9882484
1.538,0.9496944
1.539,0.8851672
1.54,0.7974175
1.541,0.6910162
1.542,0.5722172
1.543,0.4485317
1.544,0.4627585
1.545,0.5548056
1.546,0.6479099
1.547,0.7382136
1.548,0.8215285
1.549,0.8934334
1.55,0.9496211
1.551,0.9861979
1.552,0.9999535
1.553,0.9887404
1.554,0.9517472
1.555,0.8897328
1.556,0.8051638
1.557,0.7022394
1.558,0.5866903
1.559,0.4655126
1.56,0.4485641
1.561,0.5380989
1.562,0.6292604
1.563,0.7185336
1.564,0.8020341
1.565,0.8756663
1.566,0.9353321
1.567,0.9772243
1.568,0.9981024
1.569,0.9955853
1.57,0.9684471
1.571,0.9168211
1.572,0.842402
1.573,0.7484632
1.574,0.6398273
1.575,0.5225981
1.576,0.4063683
1.577,0.492004
1.578,0.5807166
1.579,0.6694885
1.58,0.7548469
1.581,0.8330509
1.582,0.9002163
1.583,0.9525986
1.584,0.9867638
1.585,0.9999198
1.586,0.990144
1.587,0.9566395
1.588,0.8999277
1.589,0.8219656
1.59,0.7261952
1.591,0.6174356
1.592,0.5016296
1.593,0.4194145
1.594,0.5037302
1.595,0.5906413
1.596,0.6772704
1.597,0.7603428
1.598,0.8363371
1.599,0.9016139
1.6,0.9526609
1.601,0.9862799
1.602,0.9998208
1.603,0.991444
1.604,0.9603241
1.605,0.9068499
1.606,0.8327007
1.607,0.7409523
1.608,0.6359512
1.609,0.5231454
1.61,0.4087375
1.611,0.4843814
1.612,0.5689766
1.613,0.6540157
1.614,0.7365662
1.615,0.8133475
1.616,0.8810039
1.617,0.9361629
1.618,0.9757059
1.619,0.9969194
1.62,0.9977526
1.621,0.9769983
1.622,0.9344944
1.623,0.8712448
1.624,0.7894838
1.625,0.6927159
1.626,0.5855497
1.627,0.4734755
1.628,0.4359076
1.629,0.5170516
1.63,0.6002014
1.631,0.6828067
1.632,0.7619716
1.633,0.8346434
1.634,0.8976192
1.635,0.9477968
1.636,0.982345
1.637,0.9988406
1.638,0.9955098
1.639,0.9713964
1.64,0.9265081
1.641,0.8619676
1.642,0.7800114
1.643,0.68405
1.644,0.5784702
1.645,0.468492
1.646,0.4377488
1.647,0.5170414
1.648,0.598257
1.649,0.6790411
1.65,0.7566913
1.651,0.8283249
1.652,0.8910094
1.653,0.9418023
1.654,0.9780015
1.655,0.9972829
1.656,0.9978492
1.657,0.9786391
1.658,0.9394353
1.659,0.8810272
1.66,0.8052391
1.661,0.7149345
1.662,0.6139799
1.663,0.5070677
1.664,0.4093713
1.665,0.4855371
1.666,0.5643682
1.667,0.6437603
1.668,0.7213272
1.669,0.7944627
1.67,0.8604326
1.671,0.9164608
1.672,0.959905
1.673,0.9883555
1.674,0.9998358
1.675,0.9929184
1.676,0.966895
1.677,0.9218882
1.678,0.858937
1.679,0.7800736
1.68,0.6882654
1.681,0.587385
1.682,0.4819568
1.683,0.4251263
1.684,0.5001565
1.685,0.5773644
1.686,0.6547813
1.687,0.7301375
1.688,0.8009699
1.689,0.8647239
1.69,0.9188198
1.691,0.9607868
1.692,0.988392
1.693,0.999781
1.694,0.9936085
1.695,0.9691699
1.696,0.9265301
1.697,0.8665847
1.698,0.7911198
1.699,0.7028257
1.7,0.6051592
1.701,0.5023414
1.702,0.4096342
1.703,0.4821323
1.704,0.557148
1.705,0.6328636
1.706,0.7072775
1.707,0.7781217
1.708,0.8430476
1.709,0.8996328
1.71,0.9455326
