# wavelength_um,throughput
9.000000000000000222e-01,8.794228640347687698e-01
9.010000000000000231e-01,8.796037841438825167e-01
9.020000000000000240e-01,8.797847203502697777e-01
9.030000000000000249e-01,8.799656696746167572e-01
9.040000000000000258e-01,8.801466336055514539e-01
9.050000000000000266e-01,8.803276136321831480e-01
9.060000000000000275e-01,8.805086067744768430e-01
9.070000000000000284e-01,8.806896145214216931e-01
9.080000000000000293e-01,8.808706368723727698e-01
9.090000000000000302e-01,8.810516753169201909e-01
9.100000000000000311e-01,8.812327268740680619e-01
9.110000000000000320e-01,8.814137930332864856e-01
9.120000000000000329e-01,8.815948752845274017e-01
9.130000000000000338e-01,8.817759706460733815e-01
9.140000000000000346e-01,8.819570806077561276e-01
9.150000000000000355e-01,8.821382066598877358e-01
9.160000000000000364e-01,8.823193458200301320e-01
9.170000000000000373e-01,8.825004995783762851e-01
9.180000000000000382e-01,8.826816679342815997e-01
9.190000000000000391e-01,8.828628523785394533e-01
9.200000000000000400e-01,8.830440499277512068e-01
9.210000000000000409e-01,8.832252620725903336e-01
9.220000000000000417e-01,8.834064903042105898e-01
9.230000000000000426e-01,8.835877316384934677e-01
9.240000000000000435e-01,8.837689875664727079e-01
9.250000000000000444e-01,8.839502595796628892e-01
9.260000000000000453e-01,8.841315446932245248e-01
9.270000000000000462e-01,8.843128443985528442e-01
9.280000000000000471e-01,8.844941586950045842e-01
9.290000000000000480e-01,8.846754890745752720e-01
9.300000000000000488e-01,8.848568325514647448e-01
9.310000000000000497e-01,8.850381906175487368e-01
9.320000000000000506e-01,8.852195647651838195e-01
9.330000000000000515e-01,8.854009520078496287e-01
9.340000000000000524e-01,8.855823538377823878e-01
9.350000000000000533e-01,8.857637717476988248e-01
9.360000000000000542e-01,8.859452027503587068e-01
9.370000000000000551e-01,8.861266483383589687e-01
9.379999999999999449e-01,8.863081085110574575e-01
9.389999999999999458e-01,8.864895847616517388e-01
9.399999999999999467e-01,8.866710741019412367e-01
9.409999999999999476e-01,8.868525780250033907e-01
9.419999999999999485e-01,8.870340980243963669e-01
9.429999999999999494e-01,8.872156311112000537e-01
9.439999999999999503e-01,8.873971787788520471e-01
9.449999999999999512e-01,8.875787425212705584e-01
9.459999999999999520e-01,8.877603193488154965e-01
9.469999999999999529e-01,8.879419107552857238e-01
9.479999999999999538e-01,8.881235167400401975e-01
9.489999999999999547e-01,8.883051387974769675e-01
9.499999999999999556e-01,8.884867739369969319e-01
9.509999999999999565e-01,8.886799029416425633e-01
9.519999999999999574e-01,8.888909067326735691e-01
9.529999999999999583e-01,8.891121374446259162e-01
9.539999999999999591e-01,8.893359399673421706e-01
9.549999999999999600e-01,8.895546607037740916e-01
9.559999999999999609e-01,8.897606416316351519e-01
9.569999999999999618e-01,8.899462221009148966e-01
9.579999999999999627e-01,8.901037408906981030e-01
9.589999999999999636e-01,8.902255310433724311e-01
9.599999999999999645e-01,8.903039314155281048e-01
9.609999999999999654e-01,8.903525112290775478e-01
9.619999999999999662e-01,8.903914326928802359e-01
9.629999999999999671e-01,8.904229205111008350e-01
9.639999999999999680e-01,8.904491996013222943e-01
9.649999999999999689e-01,8.904724950325294541e-01
9.659999999999999698e-01,8.904950319849231910e-01
9.669999999999999707e-01,8.905190327385607008e-01
9.679999999999999716e-01,8.905467256557574318e-01
9.689999999999999725e-01,8.905803347309613205e-01
9.699999999999999734e-01,8.906220841272453059e-01
9.709999999999999742e-01,8.906747594714546912e-01
9.719999999999999751e-01,8.907387311959179543e-01
9.729999999999999760e-01,8.908126068328915403e-01
9.739999999999999769e-01,8.908949938757942943e-01
9.749999999999999778e-01,8.909844982258764423e-01
9.759999999999999787e-01,8.910797256408135025e-01
9.769999999999999796e-01,8.911792846891474218e-01
9.779999999999999805e-01,8.912817792350917756e-01
9.789999999999999813e-01,8.913858173976796362e-01
9.799999999999999822e-01,8.914900040523698888e-01
9.809999999999999831e-01,8.916028912978140042e-01
9.819999999999999840e-01,8.917310445840962441e-01
9.829999999999999849e-01,8.918700911110980512e-01
9.839999999999999858e-01,8.920156572143149720e-01
9.849999999999999867e-01,8.921633666998357581e-01
9.859999999999999876e-01,8.923088437560742214e-01
9.869999999999999885e-01,8.924477114576011560e-01
9.879999999999999893e-01,8.925755888548082551e-01
9.889999999999999902e-01,8.926880986324156053e-01
9.899999999999999911e-01,8.927808598744928492e-01
9.909999999999999920e-01,8.928582893854919433e-01
9.919999999999999929e-01,8.929285261998515244e-01
9.929999999999999938e-01,8.929927681557006114e-01
9.939999999999999947e-01,8.930522192736216613e-01
9.949999999999999956e-01,8.931080792414924918e-01
9.959999999999999964e-01,8.931615493847333553e-01
9.969999999999999973e-01,8.932138311524158159e-01
9.979999999999999982e-01,8.932661276061139022e-01
9.989999999999999991e-01,8.933196374235811144e-01
1.000000000000000000e+00,8.933755653901306326e-01
1.000999999999999890e+00,8.934328987510914422e-01
1.002000000000000002e+00,8.934898364647239077e-01
1.002999999999999892e+00,8.935463919876714955e-01
1.004000000000000004e+00,8.936025802766496273e-01
1.004999999999999893e+00,8.936584147914687914e-01
1.006000000000000005e+00,8.937139134892517767e-01
1.006999999999999895e+00,8.937690868358189045e-01
1.008000000000000007e+00,8.938239512928657371e-01
1.008999999999999897e+00,8.938785218250938636e-01
1.010000000000000009e+00,8.939328133987611835e-01
1.010999999999999899e+00,8.939847082107352794e-01
1.012000000000000011e+00,8.940330220321260901e-01
1.012999999999999901e+00,8.940791620512631432e-01
1.014000000000000012e+00,8.941245340814301112e-01
1.014999999999999902e+00,8.941705485472465353e-01
1.016000000000000014e+00,8.942186129900409064e-01
1.016999999999999904e+00,8.942701365727632190e-01
1.018000000000000016e+00,8.943265270991563876e-01
1.018999999999999906e+00,8.943891925383388175e-01
1.020000000000000018e+00,8.944595425583020676e-01
1.020999999999999908e+00,8.945426959675032430e-01
1.022000000000000020e+00,8.946414367109091215e-01
1.022999999999999909e+00,8.947536708054009136e-01
1.024000000000000021e+00,8.948773056205274745e-01
1.024999999999999911e+00,8.950102452661682362e-01
1.026000000000000023e+00,8.951503964947522540e-01
1.026999999999999913e+00,8.952956656270502078e-01
1.028000000000000025e+00,8.954439539964231809e-01
1.028999999999999915e+00,8.955931699088197639e-01
1.030000000000000027e+00,8.957412136278224413e-01
1.030999999999999917e+00,8.958989692099312840e-01
1.032000000000000028e+00,8.960749385503465891e-01
1.032999999999999918e+00,8.962634547827499354e-01
1.034000000000000030e+00,8.964588449490681343e-01
1.034999999999999920e+00,8.966554402606256025e-01
1.036000000000000032e+00,8.968475639956302592e-01
1.036999999999999922e+00,8.970295450449576879e-01
1.038000000000000034e+00,8.971957015872850105e-01
1.038999999999999924e+00,8.973403579196660429e-01
1.040000000000000036e+00,8.974578344161824317e-01
1.040999999999999925e+00,8.975547363544656987e-01
1.042000000000000037e+00,8.976424130753363206e-01
1.042999999999999927e+00,8.977222911966076246e-01
1.044000000000000039e+00,8.977958051325125588e-01
1.044999999999999929e+00,8.978643820372268491e-01
1.046000000000000041e+00,8.979294537793521824e-01
1.046999999999999931e+00,8.979924524118972906e-01
1.048000000000000043e+00,8.980548086533371999e-01
1.048999999999999932e+00,8.981179533803914650e-01
1.050000000000000044e+00,8.981833176284651499e-01
1.050999999999999934e+00,8.982479014174926668e-01
1.052000000000000046e+00,8.983085873046079417e-01
1.052999999999999936e+00,8.983666333732659437e-01
1.054000000000000048e+00,8.984233023524379469e-01
1.054999999999999938e+00,8.984798510939336902e-01
1.056000000000000050e+00,8.985375395781711738e-01
1.056999999999999940e+00,8.985976264119062140e-01
1.058000000000000052e+00,8.986613733433209683e-01
1.058999999999999941e+00,8.987300392714976383e-01
1.060000000000000053e+00,8.988048847754088744e-01
1.060999999999999943e+00,8.988889895714785583e-01
1.062000000000000055e+00,8.989832694388565359e-01
1.062999999999999945e+00,8.990857277929384939e-01
1.064000000000000057e+00,8.991943753061520939e-01
1.064999999999999947e+00,8.993072193312661167e-01
1.066000000000000059e+00,8.994222653579236892e-01
1.066999999999999948e+00,8.995375214917844531e-01
1.068000000000000060e+00,8.996509924348334852e-01
1.068999999999999950e+00,8.997606839993048666e-01
1.070000000000000062e+00,8.998646016296799610e-01
1.070999999999999952e+00,8.999668739913628812e-01
1.072000000000000064e+00,9.000718874792157376e-01
1.072999999999999954e+00,9.001780374233245841e-01
1.074000000000000066e+00,9.002837143522042229e-01
1.074999999999999956e+00,9.003873115044384035e-01
1.076000000000000068e+00,9.004872233353005129e-01
1.076999999999999957e+00,9.005818395248440522e-01
1.078000000000000069e+00,9.006695540275327927e-01
1.078999999999999959e+00,9.007487575997362717e-01
1.080000000000000071e+00,9.008178438662958198e-01
1.080999999999999961e+00,9.008784144413108930e-01
1.082000000000000073e+00,9.009337384265168058e-01
1.082999999999999963e+00,9.009846994295416245e-01
1.084000000000000075e+00,9.010321871787676518e-01
1.084999999999999964e+00,9.010770854812882869e-01
1.086000000000000076e+00,9.011202827348716582e-01
1.086999999999999966e+00,9.011626659061182654e-01
1.088000000000000078e+00,9.012051220289748477e-01
1.088999999999999968e+00,9.012485366997459169e-01
1.090000000000000080e+00,9.012937970861008008e-01
1.090999999999999970e+00,9.013441616289856739e-01
1.092000000000000082e+00,9.014005208260658097e-01
1.092999999999999972e+00,9.014602150873347597e-01
1.094000000000000083e+00,9.015205845715278388e-01
1.094999999999999973e+00,9.015789676591542401e-01
1.096000000000000085e+00,9.016327039675409161e-01
1.096999999999999975e+00,9.016791313817830167e-01
1.098000000000000087e+00,9.017155891315833394e-01
1.098999999999999977e+00,9.017394163875844804e-01
1.100000000000000089e+00,9.017479493844769989e-01
1.100999999999999979e+00,9.017479493844769989e-01
1.102000000000000091e+00,9.017479493844769989e-01
1.102999999999999980e+00,9.017479493844769989e-01
1.104000000000000092e+00,9.017479493844769989e-01
1.104999999999999982e+00,9.017479493844769989e-01
1.106000000000000094e+00,9.017479493844769989e-01
1.106999999999999984e+00,9.017479493844769989e-01
1.108000000000000096e+00,9.017479493844769989e-01
1.108999999999999986e+00,9.017479493844769989e-01
1.110000000000000098e+00,9.017479493844769989e-01
1.110999999999999988e+00,9.017518745135353342e-01
1.112000000000000099e+00,9.017630423695258690e-01
1.112999999999999989e+00,9.017805371822352756e-01
1.114000000000000101e+00,9.018034462190647194e-01
1.114999999999999991e+00,9.018308537460768548e-01
1.116000000000000103e+00,9.018618470239093687e-01
1.116999999999999993e+00,9.018955117799609678e-01
1.118000000000000105e+00,9.019309352038415994e-01
1.118999999999999995e+00,9.019671999225897796e-01
1.120000000000000107e+00,9.020033945234726680e-01
1.120999999999999996e+00,9.020440191862806323e-01
1.122000000000000108e+00,9.020931442518748122e-01
1.122999999999999998e+00,9.021492059568696487e-01
1.124000000000000110e+00,9.022106419627127227e-01
1.125000000000000000e+00,9.022758883055674861e-01
1.125999999999999890e+00,9.023433823734147152e-01
1.127000000000000002e+00,9.024115598770562352e-01
1.127999999999999892e+00,9.024788563443042477e-01
1.129000000000000004e+00,9.025437101294725428e-01
1.129999999999999893e+00,9.026045549029156900e-01
1.131000000000000005e+00,9.026626104776845905e-01
1.131999999999999895e+00,9.027201815594706469e-01
1.133000000000000007e+00,9.027773313029923141e-01
1.133999999999999897e+00,9.028341198603271334e-01
1.135000000000000009e+00,9.028906134081978729e-01
1.135999999999999899e+00,9.029468721113095286e-01
1.137000000000000011e+00,9.030029591497439334e-01
1.137999999999999901e+00,9.030589392145337291e-01
1.139000000000000012e+00,9.031148739934850012e-01
1.139999999999999902e+00,9.031708266852211953e-01
1.141000000000000014e+00,9.032316699912965596e-01
1.141999999999999904e+00,9.033000453888990755e-01
1.143000000000000016e+00,9.033726742770189500e-01
1.143999999999999906e+00,9.034462701560689313e-01
1.145000000000000018e+00,9.035175536398931673e-01
1.145999999999999908e+00,9.035832404259098727e-01
1.147000000000000020e+00,9.036400458662607882e-01
1.147999999999999909e+00,9.036846865762697689e-01
1.149000000000000021e+00,9.037138790795260501e-01
1.149999999999999911e+00,9.037243400047565434e-01
1.151000000000000023e+00,9.037079306724490335e-01
1.151999999999999913e+00,9.036633903556184899e-01
1.153000000000000025e+00,9.035977554657788069e-01
1.153999999999999915e+00,9.035180563224129990e-01
1.155000000000000027e+00,9.034313301617740155e-01
1.155999999999999917e+00,9.033446057640015514e-01
1.157000000000000028e+00,9.032649153860017321e-01
1.157999999999999918e+00,9.031992918583607866e-01
1.159000000000000030e+00,9.031547613834766119e-01
1.159999999999999920e+00,9.031383561114832981e-01
1.161000000000000032e+00,9.031389158931901751e-01
1.161999999999999922e+00,9.031405711624748145e-01
1.163000000000000034e+00,9.031432903210572238e-01
1.163999999999999924e+00,9.031470372576280159e-01
1.165000000000000036e+00,9.031517803764480545e-01
1.165999999999999925e+00,9.031574835684322844e-01
1.167000000000000037e+00,9.031641137349838422e-01
1.167999999999999927e+00,9.031716377782708083e-01
1.169000000000000039e+00,9.031800195914628793e-01
1.169999999999999929e+00,9.031892275826589600e-01
1.171000000000000041e+00,9.032137457882550846e-01
1.171999999999999931e+00,9.032648747544549384e-01
1.173000000000000043e+00,9.033378005066858840e-01
1.173999999999999932e+00,9.034277136954128595e-01
1.175000000000000044e+00,9.035298001611449248e-01
1.175999999999999934e+00,9.036392481541728472e-01
1.177000000000000046e+00,9.037512421103284233e-01
1.177999999999999936e+00,9.038609715783871845e-01
1.179000000000000048e+00,9.039636161654073243e-01
1.179999999999999938e+00,9.040543636973420449e-01
1.181000000000000050e+00,9.041395853026881202e-01
1.181999999999999940e+00,9.042278270844609223e-01
1.183000000000000052e+00,9.043175311339275435e-01
1.183999999999999941e+00,9.044071393054466945e-01
1.185000000000000053e+00,9.044950947175580680e-01
1.185999999999999943e+00,9.045798387477506086e-01
1.187000000000000055e+00,9.046598125544466074e-01
1.187999999999999945e+00,9.047334571040192008e-01
1.189000000000000057e+00,9.047992147142227548e-01
1.189999999999999947e+00,9.048555260906403497e-01
1.191000000000000059e+00,9.049040124413578745e-01
1.191999999999999948e+00,9.049478779789071892e-01
1.193000000000000060e+00,9.049879371843696507e-01
1.193999999999999950e+00,9.050250076293416823e-01
1.195000000000000062e+00,9.050599039399632728e-01
1.195999999999999952e+00,9.050934407996803488e-01
1.197000000000000064e+00,9.051264359551757233e-01
1.197999999999999954e+00,9.051597026826659897e-01
1.199000000000000066e+00,9.051940558116240432e-01
1.199999999999999956e+00,9.052303147395991401e-01
1.201000000000000068e+00,9.052666796702829588e-01
1.201999999999999957e+00,9.053013055093401817e-01
1.203000000000000069e+00,9.053349377596099368e-01
1.203999999999999959e+00,9.053683219695900508e-01
1.205000000000000071e+00,9.054022052376958785e-01
1.205999999999999961e+00,9.054373301876087465e-01
1.207000000000000073e+00,9.054744425023170118e-01
1.207999999999999963e+00,9.055142894232236506e-01
1.209000000000000075e+00,9.055576152388018496e-01
1.209999999999999964e+00,9.056051658135529925e-01
1.211000000000000076e+00,9.056579793426898783e-01
1.211999999999999966e+00,9.057164071959529217e-01
1.213000000000000078e+00,9.057801635617502845e-01
1.213999999999999968e+00,9.058489656482139329e-01
1.215000000000000080e+00,9.059225291574224403e-01
1.215999999999999970e+00,9.060005667724692069e-01
1.217000000000000082e+00,9.060827971915069723e-01
1.217999999999999972e+00,9.061689330693212252e-01
1.219000000000000083e+00,9.062586915590108427e-01
