Wavelength,Fiber prop
0.9,0.972139689
0.901,0.972261176
0.902,0.972382664
0.903,0.972504151
0.904,0.972625638
0.905,0.972747126
0.906,0.972868613
0.907,0.9729901
0.908,0.973111587
0.909,0.973233075
0.91,0.973354562
0.911,0.973476049
0.912,0.973597537
0.913,0.973719024
0.914,0.973840511
0.915,0.973961999
0.916,0.974083486
0.917,0.974204973
0.918,0.97432646
0.919,0.974447948
0.92,0.974569435
0.921,0.974690922
0.922,0.97481241
0.923,0.974933897
0.924,0.975055384
0.925,0.975176872
0.926,0.975298359
0.927,0.975419846
0.928,0.975541333
0.929,0.975662821
0.93,0.975784308
0.931,0.975905795
0.932,0.976027283
0.933,0.97614877
0.934,0.976270257
0.935,0.976391745
0.936,0.976513232
0.937,0.976634719
0.938,0.976756206
0.939,0.976877694
0.94,0.976999181
0.941,0.977120668
0.942,0.977242156
0.943,0.977363643
0.944,0.97748513
0.945,0.977606618
0.946,0.977728105
0.947,0.977849592
0.948,0.977971079
0.949,0.978092567
0.95,0.978214054
0.951,0.978343218
0.952,0.978484324
0.953,0.978632255
0.954,0.978781891
0.955,0.978928115
0.956,0.979065809
0.957,0.979189855
0.958,0.979295136
0.959,0.979376532
0.96,0.979428927
0.961,0.979461392
0.962,0.979487402
0.963,0.979508444
0.964,0.979526005
0.965,0.979541572
0.966,0.979556632
0.967,0.97957267
0.968,0.979591175
0.969,0.979613633
0.97,0.97964153
0.971,0.979676727
0.972,0.979719471
0.973,0.979768831
0.974,0.979823876
0.975,0.979883674
0.976,0.979947293
0.977,0.980013803
0.978,0.980082271
0.979,0.980151767
0.98,0.980221359
0.981,0.980296759
0.982,0.980382351
0.983,0.980475213
0.984,0.980572423
0.985,0.980671058
0.986,0.980768196
0.987,0.980860915
0.988,0.980946291
0.989,0.981021403
0.99,0.981083328
0.991,0.981135016
0.992,0.981181901
0.993,0.981224783
0.994,0.981264466
0.995,0.981301751
0.996,0.98133744
0.997,0.981372335
0.998,0.981407239
0.999,0.981442952
1,0.981480278
1.001,0.981518541
1.002,0.981556539
1.003,0.981594281
1.004,0.981631777
