Wavelength,Keck AO dichroic
0.9,0.0396
0.901,0.03723166
0.902,0.034776098
0.903,0.032300052
0.904,0.029870257
0.905,0.02755345
0.906,0.025416367
0.907,0.023525744
0.908,0.021948318
0.909,0.020750824
0.91,0.02
0.911,0.019509552
0.912,0.019051687
0.913,0.018630891
0.914,0.018251648
0.915,0.017918444
0.916,0.017635765
0.917,0.017408096
0.918,0.017239922
0.919,0.017135728
0.92,0.0171
0.921,0.017187574
0.922,0.017438043
0.923,0.017833021
0.924,0.018354128
0.925,0.018982979
0.926,0.019701191
0.927,0.020490383
0.928,0.02133217
0.929,0.02220817
0.93,0.0231
0.931,0.02407669
0.932,0.025220666
0.933,0.026533638
0.934,0.028017317
0.935,0.029673413
0.936,0.031503635
0.937,0.033509695
0.938,0.035693302
0.939,0.038056167
0.94,0.0406
0.941,0.043501398
0.942,0.046937151
0.943,0.050909259
0.944,0.055419723
0.945,0.060470543
0.946,0.06606372
0.947,0.072201254
0.948,0.078885145
0.949,0.086117393
0.95,0.0939
0.951,0.103079048
0.952,0.114376871
0.953,0.127609839
0.954,0.142594326
0.955,0.159146704
0.956,0.177083346
0.957,0.196220624
0.958,0.216374911
0.959,0.237362579
0.96,0.259
0.961,0.283617769
0.962,0.312933437
0.963,0.345843811
0.964,0.381245697
0.965,0.418035904
0.966,0.455111239
0.967,0.491368509
0.968,0.52570452
0.969,0.557016082
0.97,0.5842
0.971,0.609843816
0.972,0.636662228
0.973,0.663742778
0.974,0.690173007
0.975,0.715040457
0.976,0.737432671
0.977,0.75643719
0.978,0.771141557
0.979,0.780633313
0.98,0.784
0.981,0.7838516
0.982,0.7834488
0.983,0.7828552
0.984,0.7821344
0.985,0.78135
0.986,0.7805656
0.987,0.7798448
0.988,0.7792512
0.989,0.7788484
0.99,0.7787
0.991,0.779208847
0.992,0.780660791
0.993,0.782943932
0.994,0.785946373
0.995,0.789556215
0.996,0.79366156
0.997,0.798150509
0.998,0.802911164
0.999,0.807831627
1,0.8128
1.001,0.818771178
1.002,0.826505475
1.003,0.835599125
1.004,0.845648359
1.005,0.856249408
1.006,0.866998504
1.007,0.87749188
1.008,0.887325767
1.009,0.896096396
1.01,0.9034
1.011,0.910009956
1.012,0.916827042
1.013,0.923638588
1.014,0.930231923
1.015,0.936394377
1.016,0.941913282
1.017,0.946575966
1.018,0.950169761
1.019,0.952481995
1.02,0.9533
1.021,0.952996038
1.022,0.952137468
1.023,0.950804265
1.024,0.949076403
1.025,0.947033858
1.026,0.944756605
1.027,0.942324617
1.028,0.939817871
1.029,0.93731634
1.03,0.9349
1.031,0.93209166
1.032,0.928526129
1.033,0.924451383
1.034,0.920115395
1.035,0.915766142
1.036,0.911651597
1.037,0.908019735
1.038,0.905118532
1.039,0.903195962
1.04,0.9025
1.041,0.9025
1.042,0.9025
1.043,0.9025
1.044,0.9025
1.045,0.9025
1.046,0.9025
1.047,0.9025
1.048,0.9025
1.049,0.9025
1.05,0.9025
1.051,0.903044099
1.052,0.904551017
1.053,0.90683269
1.054,0.909701052
1.055,0.912968037
1.056,0.916445578
1.057,0.919945611
1.058,0.923280069
1.059,0.926260888
1.06,0.9287
1.061,0.930898312
1.062,0.933225531
1.063,0.935596789
1.064,0.937927222
1.065,0.940131963
1.066,0.942126148
1.067,0.94382491
1.068,0.945143383
1.069,0.945996701
1.07,0.9463
1.071,0.946143222
1.072,0.945695011
1.073,0.944988552
1.074,0.944057032
1.075,0.942933635
1.076,0.941651548
1.077,0.940243955
1.078,0.938744043
1.079,0.937184996
1.08,0.9356
1.081,0.933701932
1.082,0.931253922
1.083,0.928364538
1.084,0.925142346
1.085,0.921695914
1.086,0.918133809
1.087,0.914564598
1.088,0.911096848
1.089,0.907839126
1.09,0.9049
1.091,0.902035676
1.092,0.898995338
1.093,0.895877019
1.094,0.89277875
1.095,0.889798564
1.096,0.887034493
1.097,0.884584569
1.098,0.882546824
1.099,0.88101929
1.1,0.8801
1.101,0.879535782
1.102,0.879011211
1.103,0.878530938
1.104,0.878099613
1.105,0.877721886
1.106,0.877402409
1.107,0.877145831
1.108,0.876956803
1.109,0.876839976
1.11,0.8768
1.111,0.877154746
1.112,0.878150652
1.113,0.879685221
1.114,0.881655956
1.115,0.883960359
1.116,0.886495934
1.117,0.889160183
1.118,0.891850608
1.119,0.894464713
1.12,0.8969
1.121,0.899350628
1.122,0.902035492
1.123,0.904889202
1.124,0.907846367
1.125,0.910841595
1.126,0.913809495
1.127,0.916684677
1.128,0.919401749
1.129,0.92189532
1.13,0.9241
1.131,0.926207534
1.132,0.928404399
1.133,0.930617302
1.134,0.932772949
1.135,0.934798046
1.136,0.936619299
1.137,0.938163415
1.138,0.9393571
1.139,0.940127059
1.14,0.9404
1.141,0.940272423
1.142,0.939906392
1.143,0.939326959
1.144,0.938559175
1.145,0.937628093
1.146,0.936558763
1.147,0.935376237
1.148,0.934105567
1.149,0.932771804
1.15,0.9314
1.151,0.929736277
1.152,0.927564055
1.153,0.924964332
1.154,0.922018104
1.155,0.918806369
1.156,0.915410124
1.157,0.911910368
1.158,0.908388097
1.159,0.904924308
1.16,0.9016
1.161,0.89826984
1.162,0.894767097
1.163,0.89114067
1.164,0.887439457
1.165,0.883712357
1.166,0.880008269
1.167,0.87637609
1.168,0.87286472
1.169,0.869523057
1.17,0.8664
1.171,0.863343942
1.172,0.860213945
1.173,0.857074907
1.174,0.853991727
1.175,0.851029304
1.176,0.848252536
1.177,0.845726324
