Wavelength,K-L Fiber
0.9,0.94220567
0.901,0.94209411
0.902,0.94198978
0.903,0.94189269
0.904,0.94181214
0.905,0.9417316
0.906,0.94165106
0.907,0.94159324
0.908,0.94155814
0.909,0.94154575
0.91,0.94148588
0.911,0.9414673
0.912,0.94149001
0.913,0.94133311
0.914,0.94114529
0.915,0.94092653
0.916,0.94091415
0.917,0.94092963
0.918,0.94097296
0.919,0.94092756
0.92,0.94080481
0.921,0.9406047
0.922,0.94060676
0.923,0.94056138
0.924,0.94046857
0.925,0.94043763
0.926,0.94041804
0.927,0.94040979
0.928,0.94032937
0.929,0.94030669
0.93,0.94034174
0.931,0.94027163
0.932,0.94020771
0.933,0.94014998
0.934,0.94017885
0.935,0.9402273
0.936,0.94029534
0.937,0.94024586
0.938,0.94019122
0.939,0.94013143
0.94,0.94024483
0.941,0.94029122
0.942,0.9402706
0.943,0.94024586
0.944,0.94025307
0.945,0.94029225
0.946,0.94023864
0.947,0.94022318
0.948,0.94024586
0.949,0.94029741
0.95,0.94032215
0.951,0.94032009
0.952,0.94035514
0.953,0.94035308
0.954,0.9403139
0.955,0.94038608
0.956,0.94036958
0.957,0.94026441
0.958,0.94030772
0.959,0.9403933
0.96,0.94052116
0.961,0.9404098
0.962,0.9403737
0.963,0.94041289
0.964,0.9405222
0.965,0.9405521
0.966,0.9405026
0.967,0.94046341
0.968,0.94045413
0.969,0.94047476
0.97,0.94051394
0.971,0.94052735
0.972,0.94051497
0.973,0.94055829
0.974,0.94052013
0.975,0.94040051
0.976,0.94053251
0.977,0.94061088
0.978,0.94063564
0.979,0.94082544
0.98,0.94092859
0.981,0.9409451
0.982,0.94100907
0.983,0.94107717
0.984,0.9411494
0.985,0.94117004
0.986,0.94123197
0.987,0.94133517
0.988,0.94133724
0.989,0.94137027
0.99,0.94143426
0.991,0.94146936
0.992,0.94147452
0.993,0.94144975
0.994,0.94151994
0.995,0.94159428
0.996,0.94167274
0.997,0.94175328
0.998,0.94180078
0.999,0.94181524
1,0.94216231
1.001,0.94231519
1.002,0.94227386
1.003,0.94219947
1.004,0.94222117
1.005,0.94233895
1.006,0.94240095
1.007,0.94245055
1.008,0.94248775
1.009,0.94262831
1.01,0.9427358
1.011,0.94281023
1.012,0.94282057
1.013,0.9428888
1.014,0.94301494
1.015,0.94305837
1.016,0.94308215
1.017,0.94308628
1.018,0.94309869
1.019,0.94317729
1.02,0.94332208
1.021,0.94335104
1.022,0.94333242
1.023,0.94326623
1.024,0.94338208
1.025,0.94350621
1.026,0.94363864
1.027,0.94359311
1.028,0.94362622
1.029,0.94373797
1.03,0.94378971
1.031,0.943828
1.032,0.94385284
1.033,0.94395841
1.034,0.94402775
1.035,0.94406088
1.036,0.94412092
1.037,0.94421616
1.038,0.94434662
1.039,0.94445845
1.04,0.94452473
1.041,0.94454544
1.042,0.94459723
1.043,0.94465316
1.044,0.94471324
1.045,0.94472152
1.046,0.94479508
1.047,0.9449339
1.048,0.94507275
1.049,0.94514736
1.05,0.94515772
1.051,0.94519296
1.052,0.9452738
1.053,0.94540025
1.054,0.94541684
1.055,0.94544172
1.056,0.94547489
1.057,0.94565945
1.058,0.94577765
1.059,0.9458295
1.06,0.94588551
1.061,0.94593425
1.062,0.94597574
1.063,0.94605458
1.064,0.94610644
1.065,0.94613134
1.066,0.94621434
1.067,0.94627555
1.068,0.94631498
1.069,0.94634611
1.07,0.94636686
1.071,0.94637724
1.072,0.9465682
1.073,0.94671143
1.074,0.94680693
1.075,0.94679863
1.076,0.94683392
1.077,0.94691283
1.078,0.94696682
1.079,0.94704989
1.08,0.94716204
1.081,0.94713504
1.082,0.94724618
1.083,0.94749547
1.084,0.94765964
1.085,0.94778537
1.086,0.94787267
1.087,0.94795166
1.088,0.94802546
1.089,0.94809407
1.09,0.94817724
1.091,0.94828121
1.092,0.94840598
1.093,0.94849126
1.094,0.94850374
1.095,0.94844342
1.096,0.94838727
1.097,0.94840807
1.098,0.94850582
1.099,0.94856614
1.1,0.94864831
1.101,0.94875233
1.102,0.94884597
1.103,0.9489344
1.104,0.94901764
1.105,0.94905927
1.106,0.94912171
1.107,0.94920496
1.108,0.94927158
1.109,0.94932778
1.11,0.94937358
1.111,0.94938816
1.112,0.94940273
1.113,0.9494173
1.114,0.94933195
1.115,0.949308
1.116,0.94934548
1.117,0.94931425
1.118,0.94928823
1.119,0.94926741
1.12,0.94924868
1.121,0.94925908
1.122,0.94929864
1.123,0.9493715
1.124,0.94946207
1.125,0.94957034
1.126,0.94964531
1.127,0.94972654
1.128,0.94981401
1.129,0.94993275
1.13,0.95004107
1.131,0.950139
1.132,0.95024944
1.133,0.95039324
1.134,0.9505704
1.135,0.95072467
1.136,0.95090712
1.137,0.95111775
1.138,0.95130341
1.139,0.95146718
1.14,0.95160907
1.141,0.95176351
1.142,0.9519044
1.143,0.95203174
1.144,0.95214867
1.145,0.95213718
1.146,0.95199729
1.147,0.95243795
1.148,0.9526917
1.149,0.95275856
1.15,0.95287766
1.151,0.95297065
1.152,0.95303752
1.153,0.95314203
1.154,0.95322355
1.155,0.95328208
1.156,0.9534598
1.157,0.95358525
1.158,0.95365844
1.159,0.95373582
1.16,0.95379648
1.161,0.9538404
1.162,0.95396592
1.163,0.95407052
1.164,0.95415421
1.165,0.95422117
1.166,0.95428918
1.167,0.95435824
1.168,0.95450267
1.169,0.9546
1.17,0.95465024
1.171,0.95472561
1.172,0.95481459
1.173,0.9549172
1.174,0.9549884
1.175,0.95507741
1.176,0.95518423
1.177,0.95528059
1.178,0.95536753
1.179,0.95544505
1.18,0.95552048
1.181,0.95557706
1.182,0.95561478
1.183,0.9557049
1.184,0.95576777
1.185,0.9558034
1.186,0.95583903
1.187,0.95586628
1.188,0.95588515
1.189,0.95587676
1.19,0.95587781
1.191,0.95588829
1.192,0.95590087
1.193,0.95590506
1.194,0.95590087
1.195,0.95592603
1.196,0.95596166
1.197,0.95600778
1.198,0.95608116
1.199,0.95613882
1.2,0.95618076
1.201,0.95619963
1.202,0.95624681
1.203,0.95632231
1.204,0.95638103
1.205,0.95646388
1.206,0.95657085
1.207,0.95660022
1.208,0.95663903
1.209,0.95668728
1.21,0.95673763
1.211,0.95681212
1.212,0.95691074
1.213,0.95701357
1.214,0.95710067
1.215,0.95717203
1.216,0.95733997
1.217,0.95747014
1.218,0.95756253
1.219,0.95769063
1.22,0.95779144
1.221,0.95786496
1.222,0.9579742
1.223,0.95807924
1.224,0.95818009
1.225,0.95831038
1.226,0.95842282
1.227,0.9585174
1.228,0.95860358
1.229,0.95868032
1.23,0.95874759
1.231,0.95881277
1.232,0.9588748
1.233,0.95893368
1.234,0.95904514
1.235,0.95913347
1.236,0.95919868
1.237,0.95927441
1.238,0.95937118
1.239,0.959489
1.24,0.95954371
1.241,0.95960999
1.242,0.95968786
1.243,0.95978257
1.244,0.95985203
1.245,0.95989623
1.246,0.95999307
1.247,0.9601036
1.248,0.96022782
1.249,0.96031627
1.25,0.96039314
1.251,0.96045843
1.252,0.9605174
1.253,0.9605827
1.254,0.96065433
1.255,0.96070067
1.256,0.96077863
