Wavelength,NFIRAOSS
0.9,0.80837049
0.901,0.80702492
0.902,0.80702492
0.903,0.80702492
0.904,0.80702492
0.905,0.80702492
0.906,0.80546038
0.907,0.80546038
0.908,0.80546038
0.909,0.80546038
0.91,0.80546038
0.911,0.80476801
0.912,0.80476801
0.913,0.80476801
0.914,0.80476801
0.915,0.80476801
0.916,0.8029698
0.917,0.8029698
0.918,0.8029698
0.919,0.8029698
0.92,0.8029698
0.921,0.80133662
0.922,0.80133662
0.923,0.80133662
0.924,0.80133662
0.925,0.80133662
0.926,0.79938933
0.927,0.79938933
0.928,0.79938933
0.929,0.79938933
0.93,0.79938933
0.931,0.79626781
0.932,0.79626781
0.933,0.79626781
0.934,0.79626781
0.935,0.79626781
0.936,0.79134445
0.937,0.79134445
0.938,0.79134445
0.939,0.79134445
0.94,0.78646252
0.941,0.78646252
0.942,0.78646252
0.943,0.78646252
0.944,0.78646252
0.945,0.78264466
0.946,0.78264466
0.947,0.78264466
0.948,0.78264466
0.949,0.78264466
0.95,0.77993392
0.951,0.77993392
0.952,0.77993392
0.953,0.77993392
0.954,0.77993392
0.955,0.77901243
0.956,0.77901243
0.957,0.77901243
0.958,0.77901243
0.959,0.77901243
0.96,0.77886696
0.961,0.77886696
0.962,0.77886696
0.963,0.77886696
0.964,0.77886696
0.965,0.7782017
0.966,0.7782017
0.967,0.7782017
0.968,0.7782017
0.969,0.7782017
0.97,0.77677141
0.971,0.77677141
0.972,0.77677141
0.973,0.77677141
0.974,0.77677141
0.975,0.77364511
0.976,0.77364511
0.977,0.77364511
0.978,0.77364511
0.979,0.77364511
0.98,0.76870228
0.981,0.76870228
0.982,0.76870228
0.983,0.76870228
0.984,0.76870228
0.985,0.76337294
0.986,0.76337294
0.987,0.76337294
0.988,0.76337294
0.989,0.76337294
0.99,0.75930565
0.991,0.75930565
0.992,0.75930565
0.993,0.75930565
0.994,0.75930565
0.995,0.75639606
0.996,0.75639606
0.997,0.75639606
0.998,0.75639606
0.999,0.75639606
1,0.75639606
1.001,0.75789044
1.002,0.75789044
1.003,0.75789044
1.004,0.75789044
1.005,0.75789044
1.006,0.75994003
1.007,0.75994003
1.008,0.75994003
1.009,0.75994003
1.01,0.75994003
1.011,0.76229655
1.012,0.76229655
1.013,0.76229655
1.014,0.76229655
1.015,0.76229655
1.016,0.76372276
1.017,0.76372276
1.018,0.76372276
1.019,0.76372276
1.02,0.76372276
1.021,0.76379483
1.022,0.76379483
1.023,0.76379483
1.024,0.76379483
1.025,0.76379483
1.026,0.76329732
1.027,0.76329732
1.028,0.76329732
1.029,0.76329732
1.03,0.76329732
1.031,0.76323023
1.032,0.76323023
1.033,0.76323023
1.034,0.76323023
1.035,0.76323023
1.036,0.76408086
1.037,0.76408086
1.038,0.76408086
1.039,0.76408086
1.04,0.76408086
1.041,0.76529938
1.042,0.76529938
1.043,0.76529938
1.044,0.76529938
1.045,0.76529938
1.046,0.76741333
1.047,0.76741333
1.048,0.76741333
1.049,0.76741333
1.05,0.76741333
1.051,0.77146705
1.052,0.77146705
1.053,0.77146705
1.054,0.77146705
1.055,0.77146705
1.056,0.77516462
1.057,0.77516462
1.058,0.77516462
1.059,0.77516462
1.06,0.77516462
1.061,0.77807806
1.062,0.77807806
1.063,0.77807806
1.064,0.77807806
1.065,0.77807806
1.066,0.7796533
1.067,0.7796533
1.068,0.7796533
1.069,0.7796533
1.07,0.7796533
1.071,0.78081187
1.072,0.78081187
1.073,0.78081187
1.074,0.78081187
1.075,0.78081187
1.076,0.78234071
1.077,0.78234071
1.078,0.78234071
