Wavelength,Opticoat Ag
0.9,0.957684341
0.901,0.958990661
0.902,0.960236446
0.903,0.96142901
0.904,0.962575667
0.905,0.963683732
0.906,0.964760519
0.907,0.965813343
0.908,0.966849518
0.909,0.967876358
0.91,0.968901179
0.911,0.969928366
0.912,0.970953436
0.913,0.971970399
0.914,0.972973264
0.915,0.973956043
0.916,0.974912744
0.917,0.975837378
0.918,0.976723955
0.919,0.977566485
0.92,0.978358977
0.921,0.979101665
0.922,0.979803457
0.923,0.980471374
0.924,0.981112437
0.925,0.981733669
0.926,0.98234209
0.927,0.982944722
0.928,0.983548587
0.929,0.984160706
0.93,0.9847881
0.931,0.985426952
0.932,0.986067863
0.933,0.986709484
0.934,0.987350466
0.935,0.987989459
0.936,0.988625114
0.937,0.989256083
0.938,0.989881015
0.939,0.990498562
0.94,0.991107375
0.941,0.991746671
0.942,0.992439742
0.943,0.993161351
0.944,0.993886259
0.945,0.994589228
0.946,0.99524502
0.947,0.995828397
0.948,0.996314122
0.949,0.996676955
0.95,0.996891659
0.951,0.997012945
0.952,0.997114654
0.953,0.99720024
0.954,0.997273158
0.955,0.997336863
0.956,0.997394809
0.957,0.997450453
0.958,0.997507248
0.959,0.997568649
0.96,0.997638112
0.961,0.997712757
0.962,0.997787403
0.963,0.997862048
0.964,0.997936693
0.965,0.998011339
0.966,0.998085984
0.967,0.998160629
0.968,0.998235274
0.969,0.99830992
0.97,0.998384565
0.971,0.998465928
0.972,0.998557742
0.973,0.998655527
0.974,0.998754806
0.975,0.998851098
0.976,0.998939926
0.977,0.999016811
0.978,0.999077273
0.979,0.999116835
0.98,0.999131018
0.981,0.998893854
0.982,0.99823472
0.983,0.99723215
0.984,0.995964679
0.985,0.994510843
0.986,0.992949176
0.987,0.991358214
0.988,0.989816492
0.989,0.988402544
0.99,0.987194907
0.991,0.986091086
0.992,0.984951796
0.993,0.983800378
0.994,0.982660178
0.995,0.981554538
0.996,0.980506803
0.997,0.979540315
0.998,0.97867842
0.999,0.977944461
1,0.977361781
1.001,0.976889901
1.002,0.976467932
1.003,0.976088599
1.004,0.975744629
1.005,0.97542875
1.006,0.975133687
1.007,0.974852168
1.008,0.97457692
1.009,0.974300669
1.01,0.974016142
1.011,0.973708228
1.012,0.973375629
1.013,0.973031794
1.014,0.972690171
1.015,0.972364209
1.016,0.972067356
1.017,0.97181306
1.018,0.97161477
1.019,0.971485934
1.02,0.97144
1.021,0.97144
1.022,0.97144
1.023,0.97144
1.024,0.97144
1.025,0.97144
1.026,0.97144
1.027,0.97144
1.028,0.97144
1.029,0.97144
1.03,0.97144
1.031,0.97144
1.032,0.97144
1.033,0.97144
1.034,0.97144
1.035,0.97144
1.036,0.97144
1.037,0.97144
1.038,0.97144
1.039,0.97144
1.04,0.97144
1.041,0.97144
1.042,0.97144
1.043,0.97144
1.044,0.97144
1.045,0.97144
1.046,0.97144
1.047,0.97144
1.048,0.97144
1.049,0.97144
1.05,0.97144
1.051,0.97144
1.052,0.97144
1.053,0.97144
1.054,0.97144
1.055,0.97144
1.056,0.97144
1.057,0.97144
1.058,0.97144
1.059,0.97144
1.06,0.97144
1.061,0.97144
1.062,0.97144
1.063,0.97144
1.064,0.97144
1.065,0.97144
1.066,0.97144
1.067,0.97144
1.068,0.97144
1.069,0.97144
1.07,0.97144
1.071,0.97144
1.072,0.97144
1.073,0.97144
1.074,0.97144
1.075,0.97144
1.076,0.97144
1.077,0.97144
1.078,0.97144
1.079,0.97144
1.08,0.97144
1.081,0.971445253
1.082,0.971459929
1.083,0.971482407
1.084,0.971511061
1.085,0.97154427
1.086,0.971580409
1.087,0.971617857
1.088,0.971654989
1.089,0.971690182
1.09,0.971721814
1.091,0.971751356
1.092,0.971781314
1.093,0.971811614
1.094,0.971842183
1.095,0.971872948
1.096,0.971903835
1.097,0.971934771
1.098,0.971965683
1.099,0.971996497
1.1,0.972027139
1.101,0.972057671
1.102,0.972088204
1.103,0.972118736
1.104,0.972149269
1.105,0.972179801
1.106,0.972210333
1.107,0.972240866
1.108,0.972271398
1.109,0.972301931
1.11,0.972332463
1.111,0.972365532
1.112,0.972402547
1.113,0.972441816
1.114,0.972481649
1.115,0.972520355
1.116,0.972556242
1.117,0.97258762
1.118,0.972612797
1.119,0.972630083
1.12,0.972637787
1.121,0.972640031
1.122,0.972642063
1.123,0.972643878
1.124,0.972645468
1.125,0.972646829
1.126,0.972647956
1.127,0.972648842
1.128,0.972649481
1.129,0.972649869
1.13,0.97265
1.131,0.97265
1.132,0.97265
1.133,0.97265
1.134,0.97265
1.135,0.97265
1.136,0.97265
1.137,0.97265
1.138,0.97265
1.139,0.97265
1.14,0.97265
1.141,0.97265
1.142,0.97265
1.143,0.97265
1.144,0.97265
1.145,0.97265
1.146,0.97265
1.147,0.97265
1.148,0.97265
1.149,0.97265
1.15,0.97265
1.151,0.972681864
1.152,0.972770946
1.153,0.972907478
1.154,0.973081692
1.155,0.973283822
1.156,0.9735041
1.157,0.973732759
1.158,0.973960031
1.159,0.97417615
1.16,0.974371347
1.161,0.974554808
1.162,0.974741811
1.163,0.974931732
1.164,0.975123945
1.165,0.975317825
1.166,0.975512747
1.167,0.975708086
1.168,0.975903217
1.169,0.976097514
1.17,0.976290352
1.171,0.976482691
1.172,0.976675712
1.173,0.976869123
1.174,0.977062632
1.175,0.977255945
1.176,0.977448771
1.177,0.977640818
1.178,0.977831793
1.179,0.978021403
1.18,0.978209357
1.181,0.978399428
1.182,0.978594026
1.183,0.978790815
1.184,0.978987456
1.185,0.979181613
1.186,0.979370948
1.187,0.979553124
1.188,0.979725804
1.189,0.979886649
1.19,0.980033324
1.191,0.980167047
1.192,0.980291667
1.193,0.980408791
1.194,0.980520025
1.195,0.980626975
1.196,0.980731248
1.197,0.98083445
1.198,0.980938187
1.199,0.981044067
1.2,0.981153694
1.201,0.9812618
1.202,0.98136379
1.203,0.981462286
1.204,0.981559908
1.205,0.981659277
1.206,0.981763014
1.207,0.981873741
1.208,0.981994078
1.209,0.982126645
1.21,0.982274065
1.211,0.982448419
1.212,0.982656184
1.213,0.98289157
1.214,0.983148789
1.215,0.98342205
1.216,0.983705565
1.217,0.983993544
1.218,0.984280198
1.219,0.984559739
1.22,0.984826376
1.221,0.98508522
1.222,0.985345118
1.223,0.985605882
1.224,0.985867328
1.225,0.98612927
1.226,0.986391521
1.227,0.986653896
1.228,0.98691621
1.229,0.987178275
1.23,0.987439907
1.231,0.987699058
1.232,0.987954785
1.233,0.988208555
1.234,0.988461835
1.235,0.988716094
1.236,0.988972799
1.237,0.989233418
1.238,0.989499419
1.239,0.98977227
1.24,0.990053438
1.241,0.990343957
1.242,0.990643102
1.243,0.990949707
1.244,0.991262605
1.245,0.991580627
1.246,0.991902607
1.247,0.992227377
1.248,0.99255377
1.249,0.992880619
1.25,0.993206756
1.251,0.993564436
1.252,0.993972818
1.253,0.994411092
1.254,0.994858448
1.255,0.995294075
1.256,0.995697162
1.257,0.9960469
1.258,0.996322478
1.259,0.996503086
1.26,0.996567913
1.261,0.995989801
1.262,0.994420639
1.263,0.992108191
1.264,0.989300218
1.265,0.986244482
1.266,0.983188746
1.267,0.980380773
1.268,0.978068325
1.269,0.976499163
1.27,0.975921051
1.271,0.976343756
1.272,0.9774911
1.273,0.979181922
1.274,0.981235063
1.275,0.983469363
1.276,0.985703663
1.277,0.987756804
1.278,0.989447626
1.279,0.99059497
1.28,0.991017675
1.281,0.990502492
1.282,0.989084985
1.283,0.986957213
1.284,0.984311238
1.285,0.981339121
1.286,0.978232923
1.287,0.975184705
1.288,0.972386527
1.289,0.970030451
1.29,0.968308537
1.291,0.966956138
1.292,0.965603029
1.293,0.964282909
1.294,0.963029475
1.295,0.961876424
1.296,0.960857454
1.297,0.960006264
1.298,0.95935655
1.299,0.958942009
1.3,0.958796341
1.301,0.958825447
1.302,0.95890734
1.303,0.959033881
1.304,0.95919693
1.305,0.959388348
1.306,0.959599996
1.307,0.959823735
1.308,0.960051426
1.309,0.96027493
1.31,0.960486107
1.311,0.960696869
1.312,0.960923002
1.313,0.961162178
1.314,0.961412069
1.315,0.961670348
1.316,0.961934688
1.317,0.962202759
1.318,0.962472236
1.319,0.96274079
1.32,0.963006093
1.321,0.963260847
1.322,0.963503454
1.323,0.96374014
1.324,0.963977129
1.325,0.964220646
1.326,0.964476915
1.327,0.964752162
1.328,0.965052611
1.329,0.965384487
1.33,0.965754015
1.331,0.966200872
1.332,0.966748112
1.333,0.96737703
1.334,0.968068918
1.335,0.96880507
1.336,0.969566777
1.337,0.970335334
1.338,0.971092033
1.339,0.971818168
1.34,0.972495031
1.341,0.973139382
1.342,0.97378003
1.343,0.974416347
1.344,0.975047702
1.345,0.975673465
1.346,0.976293006
1.347,0.976905695
1.348,0.977510904
1.349,0.978108
1.35,0.978696356
1.351,0.979271538
1.352,0.979831915
1.353,0.980381062
1.354,0.980922552
1.355,0.981459958
1.356,0.981996854
1.357,0.982536812
1.358,0.983083407
1.359,0.983640213
1.36,0.984210801
1.361,0.984798392
1.362,0.985401192
1.363,0.986015261
1.364,0.986636654
1.365,0.98726143
1.366,0.987885647
1.367,0.988505361
1.368,0.98911663
1.369,0.989715512
1.37,0.990298064
1.371,0.990905902
1.372,0.991566411
1.373,0.992254299
1.374,0.992944275
1.375,0.99361105
1.376,0.994229331
1.377,0.994773829
1.378,0.995219253
1.379,0.995540311
1.38,0.995711713
1.381,0.995792225
1.382,0.995859081
1.383,0.995914691
1.384,0.995961463
1.385,0.99600181
1.386,0.996038139
1.387,0.996072862
1.388,0.996108389
1.389,0.996147128
1.39,0.996191491
1.391,0.99623836
1.392,0.996283504
1.393,0.996327662
1.394,0.996371574
1.395,0.996415979
1.396,0.996461615
1.397,0.996509224
1.398,0.996559542
1.399,0.996613311
1.4,0.996671269
1.401,0.996734913
1.402,0.996804686
1.403,0.996879747
1.404,0.996959256
1.405,0.997042371
1.406,0.997128252
1.407,0.997216059
1.408,0.997304949
1.409,0.997394083
1.41,0.997482619
1.411,0.997580753
1.412,0.997695077
1.413,0.997819345
1.414,0.997947309
1.415,0.998072724
1.416,0.998189344
1.417,0.998290921
1.418,0.99837121
1.419,0.998423964
1.42,0.998442937
1.421,0.99844279
1.422,0.998442347
1.423,0.998441611
1.424,0.998440582
1.425,0.998439259
1.426,0.998437644
1.427,0.998435737
1.428,0.998433539
1.429,0.998431049
1.43,0.99842827
1.431,0.998335178
1.432,0.998080735
1.433,0.997693414
1.434,0.997201689
1.435,0.996634034
1.436,0.996018923
1.437,0.995384828
1.438,0.994760226
1.439,0.994173588
1.44,0.993653389
1.441,0.993160073
1.442,0.992642135
1.443,0.992110127
1.444,0.991574602
1.445,0.991046112
1.446,0.990535209
1.447,0.990052445
1.448,0.989608371
1.449,0.989213542
1.45,0.988878507
1.451,0.988582505
1.452,0.98829885
1.453,0.988029209
1.454,0.987775249
1.455,0.98753864
1.456,0.987321048
1.457,0.98712414
1.458,0.986949585
1.459,0.98679905
1.46,0.986674203
1.461,0.986569761
1.462,0.986477855
1.463,0.986396274
1.464,0.986322804
1.465,0.986255233
1.466,0.98619135
1.467,0.986128941
1.468,0.986065795
1.469,0.985999699
1.47,0.985928441
1.471,0.985847153
1.472,0.985755424
1.473,0.985657729
1.474,0.985558543
1.475,0.985462339
1.476,0.985373593
1.477,0.98529678
1.478,0.985236373
1.479,0.985196848
1.48,0.985182678
1.481,0.985183508
1.482,0.985185964
1.483,0.985189998
1.484,0.985195563
1.485,0.985202609
1.486,0.985211088
1.487,0.985220952
1.488,0.985232152
1.489,0.98524464
1.49,0.985258367
1.491,0.98529552
1.492,0.985373511
1.493,0.985485133
1.494,0.985623181
1.495,0.985780447
1.496,0.985949724
1.497,0.986123806
1.498,0.986295486
1.499,0.986457556
1.5,0.986602811
1.501,0.986743671
1.502,0.986894511
1.503,0.987051054
1.504,0.987209023
1.505,0.98736414
1.506,0.987512129
1.507,0.987648712
1.508,0.987769612
1.509,0.987870553
1.51,0.987947256
1.511,0.988009972
1.512,0.988071025
1.513,0.988129252
1.514,0.988183491
1.515,0.988232577
1.516,0.988275347
1.517,0.988310637
1.518,0.988337286
1.519,0.988354127
1.52,0.98836
1.521,0.98836
1.522,0.98836
1.523,0.98836
1.524,0.98836
1.525,0.98836
1.526,0.98836
1.527,0.98836
1.528,0.98836
1.529,0.98836
1.53,0.98836
1.531,0.98836
1.532,0.98836
1.533,0.98836
1.534,0.98836
1.535,0.98836
1.536,0.98836
1.537,0.98836
1.538,0.98836
1.539,0.98836
1.54,0.98836
1.541,0.988356076
1.542,0.988344931
1.543,0.9883275
1.544,0.988304723
1.545,0.988277535
1.546,0.988246876
1.547,0.988213682
1.548,0.98817889
1.549,0.988143439
1.55,0.988108266
1.551,0.988069407
1.552,0.988023169
1.553,0.987970897
1.554,0.987913933
1.555,0.98785362
1.556,0.987791303
1.557,0.987728325
1.558,0.987666029
1.559,0.987605759
1.56,0.987548858
1.561,0.987494032
1.562,0.987439166
1.563,0.987384374
1.564,0.987329769
1.565,0.987275465
1.566,0.987221574
1.567,0.98716821
1.568,0.987115486
1.569,0.987063516
1.57,0.987012413
1.571,0.986962293
1.572,0.986913087
1.573,0.986864636
1.574,0.986816777
1.575,0.986769349
1.576,0.98672219
1.577,0.986675138
1.578,0.986628033
1.579,0.986580713
1.58,0.986533015
1.581,0.986480761
1.582,0.986421795
