Wavelength,Oxydized Al
0.9,0.8874
0.901,0.88785763
0.902,0.888300415
0.903,0.888737452
0.904,0.88917784
0.905,0.889630676
0.906,0.890105058
0.907,0.890610083
0.908,0.891154851
0.909,0.891748457
0.91,0.8924
0.911,0.893177666
0.912,0.894119365
0.913,0.895188779
0.914,0.89634959
0.915,0.89756548
0.916,0.898800132
0.917,0.900017227
0.918,0.901180449
0.919,0.902253479
0.92,0.9032
0.921,0.904055377
0.922,0.90487993
0.923,0.905674769
0.924,0.906441005
0.925,0.90717975
0.926,0.907892115
0.927,0.908579212
0.928,0.90924215
0.929,0.909882043
0.93,0.9105
0.931,0.911093125
0.932,0.911660225
0.933,0.912204965
0.934,0.912731011
0.935,0.913242028
0.936,0.913741684
0.937,0.914233643
0.938,0.914721571
0.939,0.915209135
0.94,0.9157
0.941,0.916187919
0.942,0.916665732
0.943,0.917135736
0.944,0.917600227
0.945,0.918061502
0.946,0.918521856
0.947,0.918983587
0.948,0.91944899
0.949,0.919920362
0.95,0.9204
0.951,0.920891925
0.952,0.92139603
0.953,0.921908422
0.954,0.922425204
0.955,0.922942483
0.956,0.923456363
0.957,0.92396295
0.958,0.924458348
0.959,0.924938663
0.96,0.9254
0.961,0.925851106
0.962,0.926301276
0.963,0.926747436
0.964,0.927186511
0.965,0.927615426
0.966,0.928031107
0.967,0.928430479
0.968,0.928810468
0.969,0.929168
0.97,0.9295
0.971,0.929806708
0.972,0.930092938
0.973,0.930362477
0.974,0.930619111
0.975,0.930866629
0.976,0.931108816
0.977,0.93134946
0.978,0.931592348
0.979,0.931841265
0.98,0.9321
0.981,0.932370734
0.982,0.932650759
0.983,0.932936531
0.984,0.933224504
0.985,0.933511132
0.986,0.933792869
0.987,0.934066171
0.988,0.93432749
0.989,0.934573282
0.99,0.9348
0.991,0.935010113
0.992,0.935209468
0.993,0.935399591
0.994,0.935582005
0.995,0.935758235
0.996,0.935929807
0.997,0.936098245
0.998,0.936265073
0.999,0.936431816
1,0.9366
1.001,0.936767624
1.002,0.936932047
1.003,0.937093835
1.004,0.937253553
1.005,0.937411765
1.006,0.937569035
1.007,0.937725929
1.008,0.937883012
1.009,0.938040847
1.01,0.9382
1.011,0.938360465
1.012,0.938521652
1.013,0.938683252
1.014,0.938844955
1.015,0.939006452
1.016,0.939167432
1.017,0.939327587
1.018,0.939486606
1.019,0.939644181
1.02,0.9398
1.021,0.939953484
1.022,0.940104645
1.023,0.940254065
1.024,0.940402323
1.025,0.94055
1.026,0.940697677
1.027,0.940845935
1.028,0.940995355
1.029,0.941146516
1.03,0.9413
1.031,0.941455819
1.032,0.941613394
1.033,0.941772413
1.034,0.941932568
1.035,0.942093548
1.036,0.942255045
1.037,0.942416748
1.038,0.942578348
1.039,0.942739535
1.04,0.9429
1.041,0.94306
1.042,0.94322
1.043,0.94338
1.044,0.94354
1.045,0.9437
1.046,0.94386
1.047,0.94402
1.048,0.94418
1.049,0.94434
1.05,0.9445
1.051,0.94466
1.052,0.94482
1.053,0.94498
1.054,0.94514
1.055,0.9453
1.056,0.94546
1.057,0.94562
1.058,0.94578
1.059,0.94594
1.06,0.9461
1.061,0.94626
1.062,0.94642
1.063,0.94658
1.064,0.94674
1.065,0.9469
1.066,0.94706
1.067,0.94722
1.068,0.94738
1.069,0.94754
1.07,0.9477
1.071,0.947862667
1.072,0.948029481
1.073,0.948198667
1.074,0.948368444
1.075,0.948537037
1.076,0.948702667
1.077,0.948863556
1.078,0.949017926
1.079,0.949164
1.08,0.9493
1.081,0.9494287
1.082,0.949553896
1.083,0.949675344
1.084,0.9497928
1.085,0.949906019
1.086,0.950014756
1.087,0.950118767
1.088,0.950217807
1.089,0.950311633
1.09,0.9504
1.091,0.95048218
1.092,0.950558418
1.093,0.950629927
1.094,0.95069792
1.095,0.950763611
1.096,0.950828213
1.097,0.95089294
1.098,0.950959004
1.099,0.95102762
1.1,0.9511
1.101,0.95117616
1.102,0.95125488
1.103,0.95133552
1.104,0.95141744
1.105,0.9515
1.106,0.95158256
1.107,0.95166448
1.108,0.95174512
1.109,0.95182384
1.11,0.9519
1.111,0.95197336
1.112,0.95204448
1.113,0.95211392
1.114,0.95218224
1.115,0.95225
1.116,0.95231776
1.117,0.95238608
