Wavelength,Protected Ag
0.9,0.987
0.901,0.98702
0.902,0.98704
0.903,0.98706
0.904,0.98708
0.905,0.9871
0.906,0.98712
0.907,0.98714
0.908,0.98716
0.909,0.98718
0.91,0.9872
0.911,0.98722
0.912,0.98724
0.913,0.98726
0.914,0.98728
0.915,0.9873
0.916,0.98732
0.917,0.98734
0.918,0.98736
0.919,0.98738
0.92,0.9874
0.921,0.98742
0.922,0.98744
0.923,0.98746
0.924,0.98748
0.925,0.9875
0.926,0.98752
0.927,0.98754
0.928,0.98756
0.929,0.98758
0.93,0.9876
0.931,0.98761964
0.932,0.98763872
0.933,0.98765748
0.934,0.98767616
0.935,0.987695
0.936,0.98771424
0.937,0.98773412
0.938,0.98775488
0.939,0.98777676
0.94,0.9878
0.941,0.98782568
0.942,0.98785424
0.943,0.98788496
0.944,0.98791712
0.945,0.98795
0.946,0.98798288
0.947,0.98801504
0.948,0.98804576
0.949,0.98807432
0.95,0.9881
0.951,0.98812324
0.952,0.98814512
0.953,0.98816588
0.954,0.98818576
0.955,0.988205
0.956,0.98822384
0.957,0.98824252
0.958,0.98826128
0.959,0.98828036
0.96,0.9883
0.961,0.98832
0.962,0.98834
0.963,0.98836
0.964,0.98838
0.965,0.9884
0.966,0.98842
0.967,0.98844
0.968,0.98846
0.969,0.98848
0.97,0.9885
0.971,0.98852
0.972,0.98854
0.973,0.98856
0.974,0.98858
0.975,0.9886
0.976,0.98862
0.977,0.98864
0.978,0.98866
0.979,0.98868
0.98,0.9887
0.981,0.98872
0.982,0.98874
0.983,0.98876
0.984,0.98878
0.985,0.9888
0.986,0.98882
0.987,0.98884
0.988,0.98886
0.989,0.98888
0.99,0.9889
0.991,0.98892
0.992,0.98894
0.993,0.98896
0.994,0.98898
0.995,0.989
0.996,0.98902
0.997,0.98904
0.998,0.98906
0.999,0.98908
1,0.9891
1.001,0.98912
1.002,0.98914
1.003,0.98916
1.004,0.98918
1.005,0.9892
1.006,0.98922
1.007,0.98924
1.008,0.98926
1.009,0.98928
1.01,0.9893
1.011,0.9893206
1.012,0.989342133
1.013,0.9893642
1.014,0.9893864
1.015,0.989408333
1.016,0.9894296
1.017,0.9894498
1.018,0.989468533
1.019,0.9894854
1.02,0.9895
1.021,0.9895136
1.022,0.989527467
1.023,0.9895412
1.024,0.9895544
1.025,0.989566667
1.026,0.9895776
1.027,0.9895868
1.028,0.989593867
1.029,0.9895984
1.03,0.9896
1.031,0.9896
1.032,0.9896
1.033,0.9896
1.034,0.9896
1.035,0.9896
1.036,0.9896
1.037,0.9896
1.038,0.9896
1.039,0.9896
1.04,0.9896
1.041,0.9896028
1.042,0.9896104
1.043,0.9896216
1.044,0.9896352
1.045,0.98965
1.046,0.9896648
1.047,0.9896784
1.048,0.9896896
1.049,0.9896972
1.05,0.9897
1.051,0.9897
1.052,0.9897
1.053,0.9897
1.054,0.9897
1.055,0.9897
1.056,0.9897
1.057,0.9897
1.058,0.9897
1.059,0.9897
1.06,0.9897
1.061,0.9897028
1.062,0.9897104
1.063,0.9897216
1.064,0.9897352
1.065,0.98975
1.066,0.9897648
1.067,0.9897784
1.068,0.9897896
1.069,0.9897972
1.07,0.9898
1.071,0.9898
1.072,0.9898
1.073,0.9898
1.074,0.9898
1.075,0.9898
1.076,0.9898
1.077,0.9898
1.078,0.9898
1.079,0.9898
1.08,0.9898
1.081,0.9898019
1.082,0.9898072
1.083,0.9898153
1.084,0.9898256
1.085,0.9898375
1.086,0.9898504
1.087,0.9898637
1.088,0.9898768
1.089,0.9898891
1.09,0.9899
1.091,0.9899109
1.092,0.9899232
1.093,0.9899363
1.094,0.9899496
1.095,0.9899625
1.096,0.9899744
1.097,0.9899847
1.098,0.9899928
1.099,0.9899981
1.1,0.99
1.101,0.99
1.102,0.99
1.103,0.99
1.104,0.99
1.105,0.99
1.106,0.99
1.107,0.99
1.108,0.99
1.109,0.99
1.11,0.99
1.111,0.9900028
1.112,0.9900104
1.113,0.9900216
1.114,0.9900352
1.115,0.99005
1.116,0.9900648
1.117,0.9900784
1.118,0.9900896
1.119,0.9900972
1.12,0.9901
1.121,0.9901
1.122,0.9901
1.123,0.9901
1.124,0.9901
1.125,0.9901
1.126,0.9901
1.127,0.9901
1.128,0.9901
1.129,0.9901
1.13,0.9901
1.131,0.9901028
1.132,0.9901104
1.133,0.9901216
1.134,0.9901352
1.135,0.99015
1.136,0.9901648
1.137,0.9901784
1.138,0.9901896
1.139,0.9901972
1.14,0.9902
1.141,0.9902
1.142,0.9902
1.143,0.9902
1.144,0.9902
1.145,0.9902
1.146,0.9902
1.147,0.9902
1.148,0.9902
1.149,0.9902
1.15,0.9902
1.151,0.9902028
1.152,0.9902104
1.153,0.9902216
1.154,0.9902352
1.155,0.99025
1.156,0.9902648
1.157,0.9902784
1.158,0.9902896
1.159,0.9902972
1.16,0.9903
1.161,0.9903
1.162,0.9903
1.163,0.9903
1.164,0.9903
1.165,0.9903
1.166,0.9903
1.167,0.9903
1.168,0.9903
1.169,0.9903
1.17,0.9903
1.171,0.9903028
1.172,0.9903104
1.173,0.9903216
1.174,0.9903352
1.175,0.99035
1.176,0.9903648
1.177,0.9903784
1.178,0.9903896
1.179,0.9903972
1.18,0.9904
1.181,0.9904
1.182,0.9904
1.183,0.9904
1.184,0.9904
1.185,0.9904
1.186,0.9904
1.187,0.9904
1.188,0.9904
1.189,0.9904
1.19,0.9904
1.191,0.9904019
1.192,0.9904072
1.193,0.9904153
1.194,0.9904256
1.195,0.9904375
1.196,0.9904504
1.197,0.9904637
1.198,0.9904768
1.199,0.9904891
1.2,0.9905
1.201,0.99051
1.202,0.99052
1.203,0.99053
1.204,0.99054
1.205,0.99055
1.206,0.99056
1.207,0.99057
1.208,0.99058
1.209,0.99059
1.21,0.9906
1.211,0.99061
1.212,0.99062
1.213,0.99063
1.214,0.99064
1.215,0.99065
1.216,0.99066
1.217,0.99067
1.218,0.99068
1.219,0.99069
1.22,0.9907
1.221,0.99071
1.222,0.99072
1.223,0.99073
1.224,0.99074
1.225,0.99075
1.226,0.99076
1.227,0.99077
1.228,0.99078
1.229,0.99079
1.23,0.9908
1.231,0.99081
1.232,0.99082
1.233,0.99083
1.234,0.99084
1.235,0.99085
1.236,0.99086
1.237,0.99087
1.238,0.99088
1.239,0.99089
1.24,0.9909
1.241,0.99091
1.242,0.99092
1.243,0.99093
1.244,0.99094
1.245,0.99095
1.246,0.99096
1.247,0.99097
1.248,0.99098
1.249,0.99099
1.25,0.991
1.251,0.99101
1.252,0.99102
1.253,0.99103
1.254,0.99104
1.255,0.99105
1.256,0.99106
1.257,0.99107
1.258,0.99108
1.259,0.99109
1.26,0.9911
1.261,0.9911109
1.262,0.9911232
1.263,0.9911363
1.264,0.9911496
1.265,0.9911625
1.266,0.9911744
1.267,0.9911847
