Wavelength,Protected Au
0.9,0.971
0.901,0.971055166
0.902,0.971111541
0.903,0.971169074
0.904,0.971227715
0.905,0.971287413
0.906,0.971348117
0.907,0.971409779
0.908,0.971472347
0.909,0.971535771
0.91,0.9716
0.911,0.971665638
0.912,0.971733108
0.913,0.971802085
0.914,0.971872246
0.915,0.971943269
0.916,0.972014831
0.917,0.972086608
0.918,0.972158277
0.919,0.972229515
0.92,0.9723
0.921,0.972370485
0.922,0.972441723
0.923,0.972513392
0.924,0.972585169
0.925,0.972656731
0.926,0.972727754
0.927,0.972797915
0.928,0.972866892
0.929,0.972934362
0.93,0.973
0.931,0.973063738
0.932,0.973125908
0.933,0.973186785
0.934,0.973246646
0.935,0.973305769
0.936,0.973364431
0.937,0.973422908
0.938,0.973481477
0.939,0.973540415
0.94,0.9736
0.941,0.97366
0.942,0.97372
0.943,0.97378
0.944,0.97384
0.945,0.9739
0.946,0.97396
0.947,0.97402
0.948,0.97408
0.949,0.97414
0.95,0.9742
0.951,0.974259585
0.952,0.974318523
0.953,0.974377092
0.954,0.974435569
0.955,0.974494231
0.956,0.974553354
0.957,0.974613215
0.958,0.974674092
0.959,0.974736262
0.96,0.9748
0.961,0.974866123
0.962,0.974934831
0.963,0.975005477
0.964,0.975077415
0.965,0.97515
0.966,0.975222585
0.967,0.975294523
0.968,0.975365169
0.969,0.975433877
0.97,0.9755
0.971,0.975564818
0.972,0.975629748
0.973,0.975694345
0.974,0.975758166
0.975,0.975820769
0.976,0.975881711
0.977,0.975940548
0.978,0.975996837
0.979,0.976050135
0.98,0.9761
0.981,0.976146994
0.982,0.976192069
0.983,0.97623536
0.984,0.976277006
0.985,0.976317143
0.986,0.976355909
0.987,0.97639344
0.988,0.976429874
0.989,0.976465349
0.99,0.9765
0.991,0.976536171
0.992,0.976575086
0.993,0.9766152
0.994,0.976654971
0.995,0.976692857
0.996,0.976727314
0.997,0.9767568
0.998,0.976779771
0.999,0.976794686
1,0.9768
1.001,0.9768
1.002,0.9768
1.003,0.9768
1.004,0.9768
1.005,0.9768
1.006,0.9768
1.007,0.9768
1.008,0.9768
1.009,0.9768
1.01,0.9768
1.011,0.9768
1.012,0.9768
1.013,0.9768
1.014,0.9768
1.015,0.9768
1.016,0.9768
1.017,0.9768
1.018,0.9768
1.019,0.9768
1.02,0.9768
1.021,0.9768028
1.022,0.9768104
1.023,0.9768216
1.024,0.9768352
1.025,0.97685
1.026,0.9768648
1.027,0.9768784
1.028,0.9768896
1.029,0.9768972
1.03,0.9769
1.031,0.9769
1.032,0.9769
1.033,0.9769
1.034,0.9769
1.035,0.9769
1.036,0.9769
1.037,0.9769
1.038,0.9769
1.039,0.9769
1.04,0.9769
1.041,0.9769
1.042,0.9769
1.043,0.9769
1.044,0.9769
1.045,0.9769
1.046,0.9769
1.047,0.9769
