# wavelength_um, throughput
0.900000,0.000000
0.901000,0.000000
0.902000,0.000000
0.903000,0.000000
0.904000,0.000000
0.905000,0.000000
0.906000,0.000000
0.907000,0.000000
0.908000,0.000000
0.909000,0.000000
0.910000,0.000000
0.911000,0.000000
0.912000,0.000000
0.913000,0.000000
0.914000,0.000000
0.915000,0.000000
0.916000,0.000000
0.917000,0.000000
0.918000,0.000000
0.919000,0.000000
0.920000,0.000000
0.921000,0.000000
0.922000,0.000000
0.923000,0.000000
0.924000,0.000000
0.925000,0.000000
0.926000,0.000000
0.927000,0.000000
0.928000,0.000000
0.929000,0.000000
0.930000,0.000000
0.931000,0.000000
0.932000,0.000000
0.933000,0.000000
0.934000,0.000000
0.935000,0.000000
0.936000,0.000000
0.937000,0.000000
0.938000,0.000000
0.939000,0.000000
0.940000,0.000000
0.941000,0.000000
0.942000,0.000000
0.943000,0.000000
0.944000,0.000000
0.945000,0.000000
0.946000,0.000000
0.947000,0.000000
0.948000,0.000000
0.949000,0.000000
0.950000,0.000000
0.951000,0.000000
0.952000,0.000000
0.953000,0.000000
0.954000,0.000000
0.955000,0.000000
0.956000,0.000000
0.957000,0.000000
0.958000,0.000000
0.959000,0.000000
0.960000,0.344138
0.961000,0.379985
0.962000,0.402491
0.963000,0.409037
0.964000,0.398441
0.965000,0.371201
0.966000,0.329555
0.967000,0.277280
0.968000,0.219264
0.969000,0.171953
0.970000,0.222772
0.971000,0.274313
0.972000,0.322791
0.973000,0.364227
0.974000,0.394853
0.975000,0.411578
0.976000,0.412397
0.977000,0.396707
0.978000,0.365484
0.979000,0.321261
0.980000,0.267896
0.981000,0.210137
0.982000,0.182078
0.983000,0.232384
0.984000,0.282902
0.985000,0.330059
0.986000,0.370152
0.987000,0.399696
0.988000,0.415839
0.989000,0.416733
0.990000,0.401802
0.991000,0.371888
0.992000,0.329294
0.993000,0.277529
0.994000,0.220951
0.995000,0.175403
0.996000,0.224392
0.997000,0.274265
0.998000,0.321722
0.999000,0.363304
1.000000,0.395667
1.001000,0.415948
1.002000,0.422105
1.003000,0.413166
1.004000,0.389426
1.005000,0.352491
1.006000,0.305166
1.007000,0.251220
1.008000,0.194972
1.009000,0.199089
1.010000,0.247834
1.011000,0.296137
1.012000,0.340833
1.013000,0.378718
1.014000,0.406816
1.015000,0.422677
1.016000,0.424666
1.017000,0.412185
1.018000,0.385809
1.019000,0.347304
1.020000,0.299464
1.021000,0.245899
1.022000,0.190674
1.023000,0.204788
1.024000,0.252729
1.025000,0.300107
1.026000,0.343986
1.027000,0.381395
1.028000,0.409541
1.029000,0.426115
1.030000,0.429515
1.031000,0.419076
1.032000,0.395191
1.033000,0.359358
1.034000,0.313968
1.035000,0.262259
1.036000,0.207951
1.037000,0.192756
1.038000,0.239499
1.039000,0.286554
1.040000,0.331279
1.041000,0.370922
1.042000,0.402783
1.043000,0.424499
1.044000,0.434251
1.045000,0.430977
1.046000,0.414515
1.047000,0.385689
1.048000,0.346248
1.049000,0.298805
1.050000,0.246564
1.051000,0.193098
1.052000,0.208187
1.053000,0.254415
1.054000,0.300330
1.055000,0.343431
1.056000,0.381156
1.057000,0.411038
1.058000,0.430943
1.059000,0.439255
1.060000,0.435060
1.061000,0.418275
1.062000,0.389698
1.063000,0.350972
1.064000,0.304523
1.065000,0.253328
1.066000,0.200690
1.067000,0.204085
1.068000,0.249211
1.069000,0.294385
1.070000,0.337334
1.071000,0.375680
1.072000,0.407110
1.073000,0.429563
1.074000,0.441394
1.075000,0.441537
1.076000,0.429638
1.077000,0.406115
1.078000,0.372194
1.079000,0.329802
1.080000,0.281490
1.081000,0.230207
1.082000,0.180876
1.083000,0.223991
1.084000,0.268300
1.085000,0.311840
1.086000,0.352481
1.087000,0.388017
1.088000,0.416392
1.089000,0.435786
1.090000,0.444811
1.091000,0.442619
1.092000,0.429018
1.093000,0.404523
1.094000,0.370347
1.095000,0.328340
1.096000,0.280900
1.097000,0.230743
1.098000,0.180867
1.099000,0.222764
1.100000,0.265872
1.101000,0.308397
1.102000,0.348395
1.103000,0.383862
1.104000,0.412869
1.105000,0.433696
1.106000,0.444975
1.107000,0.445797
1.108000,0.435816
1.109000,0.415303
1.110000,0.385165
1.111000,0.346923
1.112000,0.302580
1.113000,0.254534
1.114000,0.205383
